polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 15*x^3 - 10*x^2 + 3*x + 1,-27,564,711,216,3,0,A4,2196324
x^4 - 15*x^3 - 10*x^2 + 3*x + 1,-27,564,711,216,3,0,A4,2196324
x^4 - 13*x^3 + 14*x^2 + 9*x + 1,-121,-132,253,88,11,0,A4,894916
x^4 - 12*x^3 - 4*x^2 + 4*x + 1,-32,208,352,128,16,0,A4,473344
x^4 - 10*x^3 + 5*x^2 + 6*x + 1,-16,24,112,64,8,0,A4,61504
x^4 - 9*x^3 + 11*x^2 + 8*x + 1,-88,-92,116,17,1,0,A4,121801
x^4 - 9*x^3 + 14*x^2 + 13*x + 1,-1397,-1364,913,-88,11,0,A4,894916
x^4 - 8*x^3 + 11*x^2 + 9*x + 1,-269,-279,224,-17,1,0,A4,121801
x^4 - 7*x^3 + 5*x^2 + 6*x + 1,-40,-12,64,13,1,0,A4,26569
x^4 - 7*x^3 + 11*x^2 + 6*x + 1,104,156,-104,13,13,0,A4,8281
x^4 - 6*x^3 - 13*x^2 + 2*x + 1,-64,736,320,32,32,0,A4,984064
x^4 - 6*x^3 + 5*x^2 + 7*x + 1,-155,-77,118,-13,1,0,A4,26569
x^4 - 6*x^3 + 5*x^2 + 10*x + 1,-752,-296,400,-64,8,0,A4,61504
x^4 - 6*x^3 + 11*x^2 + 7*x + 1,13,13,-26,-13,13,0,A4,8281
x^4 - 4*x^3 - 4*x^2 + 12*x + 1,-1888,720,544,-128,16,0,A4,473344
x^4 - 4*x^3 + 9*x^2 - 3*x + 1,-49,203,-84,7,7,0,A4,17689
x^4 - 3*x^3 - 10*x^2 + 15*x + 1,-3951,2724,675,-216,3,0,A4,2196324
x^4 - 3*x^3 - 7*x^2 + 1,24,180,84,9,3,0,A4,33489
x^4 - 3*x^3 + 3*x^2 + 2*x + 1,40,20,-40,5,5,0,A4,4225
x^4 - 3*x^3 + 9*x^2 - 4*x + 1,-56,140,-28,-7,7,0,A4,17689
x^4 - 2*x^3 - 13*x^2 + 6*x + 1,-512,1152,128,-32,32,0,A4,984064
x^4 - 2*x^3 + 3*x^2 + 3*x + 1,25,5,-30,-5,5,0,A4,4225
x^4 - 7*x^2 - 3*x + 1,111,243,24,-9,3,0,A4,33489
x^4 - 7*x^2 + 3*x + 1,-111,243,-24,-9,3,0,A4,33489
x^4 + 2*x^3 - 13*x^2 - 6*x + 1,512,1152,-128,-32,32,0,A4,984064
x^4 + 2*x^3 + 3*x^2 - 3*x + 1,-25,5,30,-5,5,0,A4,4225
x^4 + 3*x^3 - 10*x^2 - 15*x + 1,3951,2724,-675,-216,3,0,A4,2196324
x^4 + 3*x^3 - 7*x^2 + 1,-24,180,-84,9,3,0,A4,33489
x^4 + 3*x^3 + 3*x^2 - 2*x + 1,-40,20,40,5,5,0,A4,4225
x^4 + 3*x^3 + 9*x^2 + 4*x + 1,56,140,28,-7,7,0,A4,17689
x^4 + 4*x^3 - 4*x^2 - 12*x + 1,1888,720,-544,-128,16,0,A4,473344
x^4 + 4*x^3 + 9*x^2 + 3*x + 1,49,203,84,7,7,0,A4,17689
x^4 + 6*x^3 - 13*x^2 - 2*x + 1,64,736,-320,32,32,0,A4,984064
x^4 + 6*x^3 + 5*x^2 - 10*x + 1,752,-296,-400,-64,8,0,A4,61504
x^4 + 6*x^3 + 5*x^2 - 7*x + 1,155,-77,-118,-13,1,0,A4,26569
x^4 + 6*x^3 + 11*x^2 - 7*x + 1,-13,13,26,-13,13,0,A4,8281
x^4 + 7*x^3 + 5*x^2 - 6*x + 1,40,-12,-64,13,1,0,A4,26569
x^4 + 7*x^3 + 11*x^2 - 6*x + 1,-104,156,104,13,13,0,A4,8281
x^4 + 8*x^3 + 11*x^2 - 9*x + 1,269,-279,-224,-17,1,0,A4,121801
x^4 + 9*x^3 + 11*x^2 - 8*x + 1,88,-92,-116,17,1,0,A4,121801
x^4 + 9*x^3 + 14*x^2 - 13*x + 1,1397,-1364,-913,-88,11,0,A4,894916
x^4 + 10*x^3 + 5*x^2 - 6*x + 1,16,24,-112,64,8,0,A4,61504
x^4 + 12*x^3 - 4*x^2 - 4*x + 1,32,208,-352,128,16,0,A4,473344
x^4 + 13*x^3 + 14*x^2 - 9*x + 1,121,-132,-253,88,11,0,A4,894916
x^4 + 15*x^3 - 10*x^2 - 3*x + 1,27,564,-711,216,3,0,A4,2196324
