polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 10*x^3 - 10*x^2 - 10*x + 1,1480,1184,1480,0,296,1,D(4),-7359744
x^4 - 10*x^3 - 10*x^2 + 10*x + 1,-1320,1584,1320,0,264,1,D(4),9478656
x^4 - 10*x^3 - 9*x^2 + 2*x + 1,0,384,384,96,96,1,D(4),525312
x^4 - 10*x^3 - 9*x^2 + 10*x + 1,-1280,1408,1280,0,128,1,D(4),8536064
x^4 - 10*x^3 - 8*x^2 - 10*x + 1,1400,840,1400,0,280,1,D(4),-7134400
x^4 - 10*x^3 - 8*x^2 + 10*x + 1,-1240,1240,1240,0,1240,1,D(4),7688000
x^4 - 10*x^3 - 7*x^2 - 10*x + 1,1360,680,1360,0,680,1,D(4),-6936000
x^4 - 10*x^3 - 7*x^2 + 10*x + 1,-1200,1080,1200,0,120,1,D(4),6926400
x^4 - 10*x^3 - 6*x^2 - 10*x + 1,1320,528,1320,0,264,1,D(4),-6690816
x^4 - 10*x^3 - 6*x^2 + 2*x + 1,24,192,264,96,24,0,D(4),76032
x^4 - 10*x^3 - 5*x^2 - 10*x + 1,1280,384,1280,0,128,1,D(4),-6406144
x^4 - 10*x^3 - 5*x^2 + 10*x + 1,-1120,784,1120,0,112,1,D(4),5632256
x^4 - 10*x^3 - 4*x^2 - 10*x + 1,1240,248,1240,0,248,1,D(4),-6088896
x^4 - 10*x^3 - 4*x^2 + 10*x + 1,-1080,648,1080,0,216,1,D(4),5085504
x^4 - 10*x^3 - 3*x^2 - 10*x + 1,1200,120,1200,0,120,1,D(4),-5745600
x^4 - 10*x^3 - 3*x^2 + 10*x + 1,-1040,520,1040,0,520,1,D(4),4596800
x^4 - 10*x^3 - 2*x^2 - 10*x + 1,1160,0,1160,0,1160,2,D(4),-5382400
x^4 - 10*x^3 - 2*x^2 + 5*x + 1,-85,150,290,75,5,0,D(4),426725
x^4 - 10*x^3 - x^2 - 10*x + 1,1120,-112,1120,0,112,1,D(4),-5005056
x^4 - 10*x^3 - x^2 + 2*x + 1,64,32,64,96,32,0,D(4),-211968
x^4 - 10*x^3 - x^2 + 4*x + 1,0,84,168,84,84,1,D(4),49392
x^4 - 10*x^3 - x^2 + 10*x + 1,-960,288,960,0,96,1,D(4),3769344
x^4 - 10*x^3 - 10*x + 1,1080,-216,1080,0,216,1,D(4),-4618944
x^4 - 10*x^3 + 10*x + 1,-920,184,920,0,184,1,D(4),3419456
x^4 - 10*x^3 + x^2 - 10*x + 1,1040,-312,1040,0,104,1,D(4),-4229056
x^4 - 10*x^3 + x^2 + 6*x + 1,-112,72,272,64,8,0,D(4),429632
x^4 - 10*x^3 + x^2 + 10*x + 1,-880,88,880,0,88,1,D(4),3105344
x^4 - 10*x^3 + 2*x^2 - 2*x + 1,72,-48,-24,96,24,0,D(4),-211968
x^4 - 10*x^3 + 2*x^2 + 5*x + 1,-5,50,130,75,5,0,D(4),40725
x^4 - 10*x^3 + 3*x^2 - 10*x + 1,960,-480,960,0,480,1,D(4),-3456000
x^4 - 10*x^3 + 3*x^2 + 10*x + 1,-800,-80,800,0,80,1,D(4),2566400
x^4 - 10*x^3 + 4*x^2 - 10*x + 1,920,-552,920,0,184,1,D(4),-3080896
x^4 - 10*x^3 + 4*x^2 + 10*x + 1,-760,-152,760,0,152,1,D(4),2333504
