polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 5*x^4 + 10*x^3 - 10*x^2 + 5*x + 1,50,-150,150,-50,0,0,0,50,3,F(5) = 5:4,50000
x^5 - 5*x^4 + 10*x^3 - 10*x^2 + 5*x + 1,50,-150,150,-50,0,0,0,50,3,F(5) = 5:4,50000
x^5 - 2*x^4 + 6*x^3 + 2*x^2 + 4*x + 1,11,-33,0,55,0,-33,-11,11,2,F(5) = 5:4,1830125
x^5 - x^4 + x^2 + 3*x + 1,13/2,9/2,33/2,-4,-87/2,-15/2,1,1,0,F(5) = 5:4,44217
x^5 + 5*x^3 + 5*x + 1,25,-75/2,-75/2,-25,-75/2,0,-25/2,25/2,1,F(5) = 5:4,78125
x^5 + x^4 + 2*x^3 + 4*x^2 + x + 1,-9,-9,6,-16,-15,-27,-4,1,0,F(5) = 5:4,35152
x^5 + x^4 + 4*x^3 + 2*x^2 + x + 1,-4,-27,-15,-16,6,-9,-9,1,0,F(5) = 5:4,35152
x^5 + x^4 + 8*x^3 - x^2 + 7*x + 1,103/2,-141/2,-195/2,-90,-15/2,39/2,-19,1/2,0,F(5) = 5:4,15962337
x^5 + 3*x^4 + x^3 - x + 1,1,-15/2,-87/2,-4,33/2,9/2,13/2,1,0,F(5) = 5:4,44217
x^5 + 4*x^4 + 2*x^3 + 6*x^2 - 2*x + 1,-11,-33,0,55,0,-33,11,11,2,F(5) = 5:4,1830125
x^5 + 5*x^4 - 10*x^3 + 10*x^2 - 5*x + 1,0,0,0,-50,150,-150,50,50,3,F(5) = 5:4,50000
x^5 + 5*x^4 + 5*x^2 + 1,-25/2,0,-75/2,-25,-75/2,-75/2,25,25/2,1,F(5) = 5:4,78125
x^5 + 7*x^4 - x^3 + 8*x^2 + x + 1,-19,39/2,-15/2,-90,-195/2,-141/2,103/2,1/2,0,F(5) = 5:4,15962337
