polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 14*x + 1,3704,3660,2160,3165,1,0,S5,-64793387319
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 13*x + 1,3097,3285,1875,2760,1,0,S5,-49249365008
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 12*x + 1,2568,2940,1620,2385,3,0,S5,-36880497367
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 11*x + 1,2111,2625,1395,2040,1,0,S5,-27193795056
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 10*x + 1,1720,2340,1200,1725,5,0,S5,-19742834375
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 9*x + 1,1389,2085,1035,1440,3,0,S5,-14127726544
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 8*x + 1,1112,1860,900,1185,1,0,S5,-9995086983
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 7*x + 1,883,1665,795,960,1,0,S5,-7038004592
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 6*x + 1,696,1500,720,765,3,0,S5,-4996011031
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 5*x + 1,545,1365,675,600,5,0,S5,-3655050000
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 4*x + 1,424,1260,660,465,1,0,S5,-2847446519
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 3*x + 1,327,1185,675,360,3,0,S5,-2451876208
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - 2*x + 1,248,1140,720,285,1,0,S5,-2393334567
x^5 - 15*x^4 - 15*x^3 - 15*x^2 - x + 1,181,1125,795,240,1,0,S5,-2643106256
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 1,120,1140,900,225,15,0,S5,-3218734375
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 2*x + 1,-8,1260,1200,285,1,0,S5,-5648840183
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 3*x + 1,-87,1365,1395,360,3,0,S5,-7769419792
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 4*x + 1,-184,1500,1620,465,1,0,S5,-10747998231
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 5*x + 1,-305,1665,1875,600,5,0,S5,-14832950000
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 6*x + 1,-456,1860,2160,765,3,0,S5,-20318723719
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 7*x + 1,-643,2085,2475,960,1,0,S5,-27545811408
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 8*x + 1,-872,2340,2820,1185,1,0,S5,-36900717767
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 9*x + 1,-1149,2625,3195,1440,3,0,S5,-48815929456
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 10*x + 1,-1480,2940,3600,1725,5,0,S5,-63769884375
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 11*x + 1,-1871,3285,4035,2040,1,0,S5,-82286940944
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 12*x + 1,-2328,3660,4500,2385,3,0,S5,-104937347383
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 13*x + 1,-2857,4065,4995,2760,1,0,S5,-132337210992
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 14*x + 1,-3464,4500,5520,3165,1,0,S5,-165148467431
x^5 - 15*x^4 - 15*x^3 - 15*x^2 + 15*x + 1,-4155,4965,6075,3600,15,0,S5,-204078850000
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 15*x + 1,4335,3724,2415,3600,1,0,S5,-85073846767
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 13*x + 1,3045,3000,1815,2760,15,0,S5,-49654107583
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 12*x + 1,2520,2680,1560,2385,5,0,S5,-37061534932
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 11*x + 1,2067,2388,1335,2040,3,0,S5,-27198565855
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 10*x + 1,1680,2124,1140,1725,3,0,S5,-19611882892
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 9*x + 1,1353,1888,975,1440,1,0,S5,-13894634383
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 8*x + 1,1080,1680,840,1185,15,0,S5,-9686403748
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 7*x + 1,855,1500,735,960,15,0,S5,-6673178767
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 6*x + 1,672,1348,660,765,1,0,S5,-4587320860
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 5*x + 1,525,1224,615,600,3,0,S5,-3207534367
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 4*x + 1,408,1128,600,465,3,0,S5,-2358835828
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 3*x + 1,315,1060,615,360,5,0,S5,-1912523263
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - 2*x + 1,240,1020,660,285,15,0,S5,-1786145452
x^5 - 15*x^4 - 15*x^3 - 14*x^2 - x + 1,177,1008,735,240,3,0,S5,-1943471215
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 1,120,1024,840,225,1,0,S5,-2394458692
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + x + 1,63,1068,975,240,3,0,S5,-3195224623
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 2*x + 1,0,1140,1140,285,285,1,S5,-4448013628
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 3*x + 1,-75,1240,1335,360,5,0,S5,-6301167487
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 4*x + 1,-168,1368,1560,465,3,0,S5,-8949094420
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 5*x + 1,-285,1524,1815,600,3,0,S5,-12632238367
