polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 15*x^3 - 15*x^2 - 15*x + 1,4395,3809,4395,0,293,1,D(4),-62755619
x^4 - 15*x^3 - 15*x^2 + 15*x + 1,-4155,4709,4155,0,277,1,D(4),91230781
x^4 - 15*x^3 - 14*x^2 + 2*x + 1,0,884,884,221,221,1,D(4),3760757
x^4 - 15*x^3 - 13*x^2 - 15*x + 1,4275,3135,4275,0,285,1,D(4),-63274275
x^4 - 15*x^3 - 13*x^2 + 15*x + 1,-4035,4035,4035,0,4035,1,D(4),81406125
x^4 - 15*x^3 - 12*x^2 - 15*x + 1,4215,2810,4215,0,1405,1,D(4),-63168800
x^4 - 15*x^3 - 12*x^2 + 1,120,560,720,225,5,0,D(4),113125
x^4 - 15*x^3 - 12*x^2 + 15*x + 1,-3975,3710,3975,0,265,1,D(4),76966600
x^4 - 15*x^3 - 11*x^2 - 15*x + 1,4155,2493,4155,0,831,1,D(4),-62841051
x^4 - 15*x^3 - 11*x^2 + 15*x + 1,-3915,3393,3915,0,261,1,D(4),72821349
x^4 - 15*x^3 - 10*x^2 - 15*x + 1,4095,2184,4095,0,273,1,D(4),-62306244
x^4 - 15*x^3 - 10*x^2 + 15*x + 1,-3855,3084,3855,0,771,1,D(4),68955156
x^4 - 15*x^3 - 9*x^2 - 15*x + 1,4035,1883,4035,0,269,1,D(4),-61579211
x^4 - 15*x^3 - 9*x^2 + 15*x + 1,-3795,2783,3795,0,253,1,D(4),65353189
x^4 - 15*x^3 - 8*x^2 - 15*x + 1,3975,1590,3975,0,795,1,D(4),-60674400
x^4 - 15*x^3 - 8*x^2 + 5*x + 1,-165,590,815,200,5,0,D(4),4010000
x^4 - 15*x^3 - 8*x^2 + 15*x + 1,-3735,2490,3735,0,1245,1,D(4),62001000
x^4 - 15*x^3 - 7*x^2 - 15*x + 1,3915,1305,3915,0,1305,1,D(4),-59605875
x^4 - 15*x^3 - 7*x^2 + 15*x + 1,-3675,2205,3675,0,735,1,D(4),58884525
x^4 - 15*x^3 - 6*x^2 - 15*x + 1,3855,1028,3855,0,257,1,D(4),-58387316
x^4 - 15*x^3 - 5*x^2 - 15*x + 1,3795,759,3795,0,759,1,D(4),-57032019
x^4 - 15*x^3 - 5*x^2 + 15*x + 1,-3555,1659,3555,0,237,1,D(4),53304381
x^4 - 15*x^3 - 4*x^2 - 15*x + 1,3735,498,3735,0,249,1,D(4),-55552896
x^4 - 15*x^3 - 4*x^2 + 15*x + 1,-3495,1398,3495,0,699,1,D(4),50814504
x^4 - 15*x^3 - 3*x^2 - 15*x + 1,3675,245,3675,0,245,1,D(4),-53962475
x^4 - 15*x^3 - 3*x^2 + 15*x + 1,-3435,1145,3435,0,1145,1,D(4),48507925
x^4 - 15*x^3 - 2*x^2 - 15*x + 1,3615,0,3615,0,3615,2,D(4),-52272900
x^4 - 15*x^3 - 2*x^2 - 5*x + 1,285,-100,535,200,5,0,D(4),-3859900
x^4 - 15*x^3 - x^2 - 15*x + 1,3555,-237,3555,0,237,1,D(4),-50495931
x^4 - 15*x^3 - x^2 + 15*x + 1,-3315,663,3315,0,663,1,D(4),44396469
x^4 - 15*x^3 - 15*x + 1,3495,-466,3495,0,233,1,D(4),-48642944
x^4 - 15*x^3 + 15*x + 1,-3255,434,3255,0,217,1,D(4),42568456
x^4 - 15*x^3 + x^2 - 15*x + 1,3435,-687,3435,0,687,1,D(4),-46724931
x^4 - 15*x^3 + x^2 + 15*x + 1,-3195,213,3195,0,213,1,D(4),40877469
x^4 - 15*x^3 + 2*x^2 + 1,120,0,-120,225,15,1,D(4),-1309275
x^4 - 15*x^3 + 3*x^2 - 15*x + 1,3315,-1105,3315,0,1105,1,D(4),-42735875
x^4 - 15*x^3 + 3*x^2 + 15*x + 1,-3075,-205,3075,0,205,1,D(4),37864525
x^4 - 15*x^3 + 4*x^2 - 15*x + 1,3255,-1302,3255,0,651,1,D(4),-40684896
x^4 - 15*x^3 + 4*x^2 + 6*x + 1,0,84,252,189,21,1,D(4),122157
x^4 - 15*x^3 + 4*x^2 + 15*x + 1,-3015,-402,3015,0,201,1,D(4),36522504
x^4 - 15*x^3 + 5*x^2 - 15*x + 1,3195,-1491,3195,0,213,1,D(4),-38609019
x^4 - 15*x^3 + 5*x^2 + 15*x + 1,-2955,-591,2955,0,591,1,D(4),35277381
x^4 - 15*x^3 + 6*x^2 - 15*x + 1,3135,-1672,3135,0,209,1,D(4),-36517316
x^4 - 15*x^3 + 6*x^2 + 15*x + 1,-2895,-772,2895,0,193,1,D(4),34120084
x^4 - 15*x^3 + 7*x^2 - 15*x + 1,3075,-1845,3075,0,615,1,D(4),-34418475
x^4 - 15*x^3 + 7*x^2 + 15*x + 1,-2835,-945,2835,0,945,1,D(4),33041925
x^4 - 15*x^3 + 8*x^2 - 15*x + 1,3015,-2010,3015,0,1005,1,D(4),-32320800
x^4 - 15*x^3 + 8*x^2 + 15*x + 1,-2775,-1110,2775,0,555,1,D(4),32034600
x^4 - 15*x^3 + 9*x^2 - 15*x + 1,2955,-2167,2955,0,197,1,D(4),-30232211
x^4 - 15*x^3 + 9*x^2 + 15*x + 1,-2715,-1267,2715,0,181,1,D(4),31090189
x^4 - 15*x^3 + 10*x^2 - 15*x + 1,2895,-2316,2895,0,579,1,D(4),-28160244
x^4 - 15*x^3 + 10*x^2 + 15*x + 1,-2655,-1416,2655,0,177,1,D(4),30201156
x^4 - 15*x^3 + 11*x^2 - 15*x + 1,2835,-2457,2835,0,189,1,D(4),-26112051
x^4 - 15*x^3 + 11*x^2 + 15*x + 1,-2595,-1557,2595,0,519,1,D(4),29360349
x^4 - 15*x^3 + 12*x^2 - 15*x + 1,2775,-2590,2775,0,185,1,D(4),-24094400
x^4 - 15*x^3 + 13*x^2 - 15*x + 1,2715,-2715,2715,0,2715,1,D(4),-22113675
x^4 - 15*x^3 + 13*x^2 + 5*x + 1,255,485,-445,200,5,0,D(4),-3431875
x^4 - 15*x^3 + 13*x^2 + 15*x + 1,-2475,-1815,2475,0,165,1,D(4),27796725
x^4 - 15*x^3 + 14*x^2 - 15*x + 1,2655,-2832,2655,0,177,1,D(4),-20175876
x^4 - 15*x^3 + 14*x^2 - 6*x + 1,0,84,-252,189,21,1,D(4),-36603
x^4 - 15*x^3 + 14*x^2 + 15*x + 1,-2415,-1932,2415,0,483,1,D(4),27061524
x^4 - 15*x^3 + 15*x^2 - 15*x + 1,2595,-2941,2595,0,173,1,D(4),-18286619
x^4 - 15*x^3 + 15*x^2 + 15*x + 1,-2355,-2041,2355,0,157,1,D(4),26349781
x^4 - 14*x^3 - 15*x^2 - 14*x + 1,3696,3432,3696,0,264,1,D(4),-42863040
x^4 - 14*x^3 - 15*x^2 - 2*x + 1,240,888,912,192,24,0,D(4),74304
x^4 - 14*x^3 - 15*x^2 + 8*x + 1,-880,2068,1672,132,44,0,D(4),20848784
x^4 - 14*x^3 - 15*x^2 + 14*x + 1,-3472,4216,3472,0,248,1,D(4),65993792
x^4 - 14*x^3 - 14*x^2 - 14*x + 1,3640,3120,3640,0,520,1,D(4),-43264000
x^4 - 14*x^3 - 14*x^2 - x + 1,169,754,806,195,13,0,D(4),426725
x^4 - 15*x^3 - 15*x^2 - 15*x + 1,4395,3809,4395,0,293,1,D(4),-62755619
x^4 - 15*x^3 - 15*x^2 + 15*x + 1,-4155,4709,4155,0,277,1,D(4),91230781
x^4 - 15*x^3 - 14*x^2 + 2*x + 1,0,884,884,221,221,1,D(4),3760757
x^4 - 15*x^3 - 13*x^2 - 15*x + 1,4275,3135,4275,0,285,1,D(4),-63274275
x^4 - 15*x^3 - 13*x^2 + 15*x + 1,-4035,4035,4035,0,4035,1,D(4),81406125
x^4 - 15*x^3 - 12*x^2 - 15*x + 1,4215,2810,4215,0,1405,1,D(4),-63168800
x^4 - 15*x^3 - 12*x^2 + 1,120,560,720,225,5,0,D(4),113125
x^4 - 15*x^3 - 12*x^2 + 15*x + 1,-3975,3710,3975,0,265,1,D(4),76966600
