polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 15*x^3 - 13*x^2 + 12*x + 7,-2232,2892,2844,81,3,0,A4,45846441
x^4 - 15*x^3 - 10*x^2 + 3*x + 1,-27,564,711,216,3,0,A4,2196324
x^4 - 15*x^3 - 3*x^2 + 14*x + 4,-2792,1028,3008,29,1,0,A4,25381444
x^4 - 15*x^3 - 13*x^2 + 12*x + 7,-2232,2892,2844,81,3,0,A4,45846441
x^4 - 15*x^3 - 10*x^2 + 3*x + 1,-27,564,711,216,3,0,A4,2196324
x^4 - 15*x^3 - 3*x^2 + 14*x + 4,-2792,1028,3008,29,1,0,A4,25381444
x^4 - 14*x^3 - 5*x^2 + 13*x - 1,-2345,1293,2542,27,1,0,A4,22515025
x^4 - 14*x^3 - x^2 + 13*x + 5,-2137,521,2318,27,1,0,A4,368449
x^4 - 14*x^3 + 5*x^2 + 11*x - 5,-999,-213,1326,75,3,0,A4,4052169
x^4 - 14*x^3 + 10*x^2 + 8*x - 6,-80,-32,272,132,4,0,A4,270400
x^4 - 14*x^3 + 15*x^2 + 14*x - 12,-1792,-1664,1792,0,128,1,A4,38987536
x^4 - 13*x^3 + 5*x^2 + 14*x - 1,-2360,-532,2176,-27,1,0,A4,22515025
x^4 - 13*x^3 + 14*x^2 + 9*x + 1,-121,-132,253,88,11,0,A4,894916
x^4 - 12*x^3 - 7*x^2 + 7*x + 4,-443,691,868,95,1,0,A4,121801
x^4 - 12*x^3 - 6*x^2 + 8*x + 4,-608,704,992,80,16,0,A4,984064
x^4 - 12*x^3 - 5*x^2 + 7*x + 2,-387,497,772,95,1,0,A4,2798929
x^4 - 12*x^3 - 4*x^2 + 4*x + 1,-32,208,352,128,16,0,A4,473344
x^4 - 12*x^3 - x^2 + 10*x + 3,-944,328,1168,44,4,0,A4,2521744
x^4 - 11*x^3 - 15*x^2 + 14*x + 12,-3496,4132,2704,-75,1,0,A4,51868804
x^4 - 11*x^3 + 8*x^2 + 15*x + 4,-2807,-1230,2003,-104,1,0,A4,368449
x^4 - 11*x^3 + 15*x^2 + 12*x - 11,-920,-1012,828,-23,23,0,A4,16605625
x^4 - 11*x^3 + 15*x^2 + 14*x - 3,-1816,-1748,1384,-75,1,0,A4,15311569
x^4 - 10*x^3 - 15*x^2 + x + 2,19,919,602,99,1,0,A4,3207681
x^4 - 10*x^3 - 15*x^2 + 3*x + 6,-127,1079,666,91,1,0,A4,3143529
x^4 - 10*x^3 - 13*x^2 - x + 2,133,653,538,99,1,0,A4,26569
x^4 - 10*x^3 - 13*x^2 + 9*x - 1,-1117,1893,1258,19,1,0,A4,1605289
x^4 - 10*x^3 - 13*x^2 + 11*x + 4,-1823,2453,1642,-21,1,0,A4,24235929
x^4 - 10*x^3 - 13*x^2 + 14*x + 11,-3392,3488,2368,-96,32,0,A4,33269824
x^4 - 10*x^3 - 7*x^2 + 3*x + 2,-31,303,346,91,1,0,A4,26569
x^4 - 10*x^3 - 7*x^2 + 8*x - 1,-656,788,856,36,4,0,A4,1227664
x^4 - 10*x^3 - 5*x^2 + 14*x - 4,-2944,1344,2048,-96,32,0,A4,2521744
x^4 - 10*x^3 + 5*x^2 + 6*x + 1,-16,24,112,64,8,0,A4,61504
x^4 - 10*x^3 + 7*x^2 + 11*x + 2,-943,-447,842,-21,1,0,A4,1054729
x^4 - 10*x^3 + 7*x^2 + 13*x - 3,-1753,-743,1306,-69,1,0,A4,7958041
x^4 - 10*x^3 + 11*x^2 + 6*x - 7,128,192,-128,64,64,0,A4,984064
x^4 - 10*x^3 + 14*x^2 + 12*x - 2,-976,-1008,784,-44,4,0,A4,5798464
x^4 - 9*x^3 + 8*x^2 + 9*x - 5,-369,-246,369,0,123,1,A4,2196324
x^4 - 9*x^3 + 11*x^2 + 8*x + 1,-88,-92,116,17,1,0,A4,121801
x^4 - 9*x^3 + 13*x^2 + 10*x - 1,-408,-460,352,-19,1,0,A4,1605289
x^4 - 9*x^3 + 14*x^2 + 9*x - 11,-153,-204,153,0,51,1,A4,3392964
x^4 - 9*x^3 + 14*x^2 + 13*x + 1,-1397,-1364,913,-88,11,0,A4,894916
x^4 - 8*x^3 - 11*x^2 + 4*x + 5,-176,708,448,48,4,0,A4,1227664
x^4 - 8*x^3 - 10*x^2 + 12*x - 2,-2144,2016,1376,-80,16,0,A4,2119936
x^4 - 8*x^3 - 9*x^2 + 15*x + 4,-3851,2573,1968,-161,1,0,A4,16605625
x^4 - 8*x^3 + 7*x^2 + 5*x - 3,79,85,-64,39,1,0,A4,346921
x^4 - 8*x^3 + 7*x^2 + 10*x - 1,-656,-360,496,-36,4,0,A4,1227664
x^4 - 8*x^3 + 9*x^2 + 11*x - 9,-871,-605,592,-57,1,0,A4,1803649
x^4 - 8*x^3 + 11*x^2 + 5*x - 2,159,273,-192,39,3,0,A4,423801
x^4 - 8*x^3 + 11*x^2 + 9*x + 1,-269,-279,224,-17,1,0,A4,121801
x^4 - 8*x^3 + 12*x^2 + 8*x - 7,-64,-80,64,0,16,1,A4,1016064
x^4 - 8*x^3 + 12*x^2 + 12*x - 5,-1088,-976,672,-80,16,0,A4,984064
x^4 - 8*x^3 + 14*x^2 + 4*x - 10,224,608,-352,48,16,0,A4,473344
x^4 - 7*x^3 - 12*x^2 + 13*x + 6,-2765,2770,1415,-120,5,0,A4,16605625
x^4 - 7*x^3 - 7*x^2 + 10*x + 4,-1224,1020,816,-51,51,0,A4,3392964
x^4 - 7*x^3 + x^2 + 10*x + 3,-904,28,592,-51,1,0,A4,373321
x^4 - 7*x^3 + 5*x^2 + 6*x + 1,-40,-12,64,13,1,0,A4,26569
x^4 - 7*x^3 + 6*x^2 + 13*x + 2,-1829,-704,911,-120,1,0,A4,408321
x^4 - 7*x^3 + 8*x^2 + x - 2,87,246,-225,48,3,0,A4,33489
x^4 - 7*x^3 + 9*x^2 + 10*x + 9,-584,-452,368,-51,1,0,A4,43681
x^4 - 7*x^3 + 9*x^2 + 14*x - 13,-2184,-1260,1008,-147,21,0,A4,261121
x^4 - 7*x^3 + 11*x^2 + 6*x - 7,104,156,-104,13,13,0,A4,26569
x^4 - 7*x^3 + 11*x^2 + 6*x + 1,104,156,-104,13,13,0,A4,8281
x^4 - 7*x^3 + 12*x^2 + 7*x + 15,49,70,-49,0,7,1,A4,4831204
x^4 - 7*x^3 + 15*x^2 + 6*x + 4,200,428,-216,13,1,0,A4,1768900
x^4 - 6*x^3 - 13*x^2 + 2*x + 1,-64,736,320,32,32,0,A4,984064
x^4 - 6*x^3 - 10*x^2 + 14*x + 15,-3256,2512,1304,-160,8,0,A4,5798464
x^4 - 6*x^3 - x^2 + 7*x + 3,-323,121,262,-13,1,0,A4,26569
x^4 - 6*x^3 + 3*x^2 + 7*x - 2,-211,-43,166,-13,1,0,A4,165649
x^4 - 6*x^3 + 5*x^2 + 7*x + 1,-155,-77,118,-13,1,0,A4,26569
x^4 - 6*x^3 + 5*x^2 + 10*x + 1,-752,-296,400,-64,8,0,A4,61504
x^4 - 6*x^3 + 5*x^2 + 14*x - 5,-2416,-728,944,-160,8,0,A4,61504
x^4 - 6*x^3 + 6*x^2 + 8*x + 6,-272,-160,176,-28,4,0,A4,5184
x^4 - 6*x^3 + 6*x^2 + 10*x + 3,-712,-352,376,-64,8,0,A4,5184
x^4 - 6*x^3 + 6*x^2 + 10*x + 13,-712,-352,376,-64,8,0,A4,984064
x^4 - 6*x^3 + 7*x^2 + 14*x + 14,-2304,-1024,896,-160,32,0,A4,3519376
x^4 - 6*x^3 + 9*x^2 + 8*x + 9,-176,-172,104,-28,4,0,A4,1774224
x^4 - 6*x^3 + 10*x^2 + 4*x + 2,144,272,-176,20,4,0,A4,153664
x^4 - 6*x^3 + 11*x^2 + 2*x + 6,128,448,-256,32,32,0,A4,839056
x^4 - 6*x^3 + 11*x^2 + 7*x + 1,13,13,-26,-13,13,0,A4,8281
x^4 - 6*x^3 + 13*x^2 - 4*x + 5,-96,404,-184,20,4,0,A4,394384
x^4 - 6*x^3 + 14*x^2 - 14*x + 7,2008,-2144,952,-160,8,0,A4,3136
x^4 - 6*x^3 + 14*x^2 - 10*x + 3,488,-752,344,-64,8,0,A4,10816
x^4 - 6*x^3 + 14*x^2 - 4*x + 4,-112,496,-208,20,4,0,A4,473344
x^4 - 6*x^3 + 14*x^2 - 2*x + 3,-56,688,-296,32,8,0,A4,529984
x^4 - 6*x^3 + 14*x^2 + 12*x + 10,-1008,-1104,432,-108,12,0,A4,10188864
x^4 - 6*x^3 + 14*x^2 + 14*x + 7,-1912,-1808,728,-160,8,0,A4,5798464
x^4 - 6*x^3 + 15*x^2 - 13*x + 4,1465,-1807,758,-133,1,0,A4,4225
x^4 - 6*x^3 + 15*x^2 - 10*x + 6,448,-736,320,-64,32,0,A4,219024
x^4 - 5*x^3 - 13*x^2 + 2*x + 4,-72,732,264,21,3,0,A4,2196324
x^4 - 5*x^3 - 10*x^2 + 7*x + 12,-583,944,389,-24,1,0,A4,121801
x^4 - 5*x^3 - 8*x^2 + 13*x + 14,-2573,1722,901,-144,1,0,A4,1605289
x^4 - 5*x^3 - 7*x^2 + 14*x + 4,-3096,1692,1008,-171,9,0,A4,3392964
x^4 - 5*x^3 + 13*x + 2,-2157,114,741,-144,3,0,A4,261121
x^4 - 5*x^3 + 2*x^2 + 9*x + 2,-617,-72,293,-56,1,0,A4,26569
x^4 - 5*x^3 + 2*x^2 + 9*x + 10,-617,-72,293,-56,1,0,A4,8281
x^4 - 5*x^3 + 3*x^2 + 12*x + 7,-1544,-292,564,-119,1,0,A4,162409
