polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 15*x^3 - 15*x^2 - 15*x + 1,4395,3809,4395,0,293,1,D(4),-62755619
x^4 - 15*x^3 - 15*x^2 - 10*x + 12,1720,2084,2480,125,1,0,D(4),-385865532
x^4 - 15*x^3 - 15*x^2 + 14*x - 12,-3464,4244,3728,29,1,0,D(4),-442273500
x^4 - 15*x^3 - 15*x^2 + 15*x + 1,-4155,4709,4155,0,277,1,D(4),91230781
x^4 - 15*x^3 - 14*x^2 - 6*x - 1,672,1092,1428,189,21,0,D(4),-96715
x^4 - 15*x^3 - 14*x^2 + 2*x + 1,0,884,884,221,221,1,D(4),3760757
x^4 - 15*x^3 - 14*x^2 + 15*x + 9,-4095,4368,4095,0,273,1,D(4),91052100
x^4 - 15*x^3 - 13*x^2 - 15*x + 1,4275,3135,4275,0,285,1,D(4),-63274275
x^4 - 15*x^3 - 13*x^2 - 10*x - 4,1640,1660,2360,125,5,0,D(4),-10777500
x^4 - 15*x^3 - 13*x^2 + 4*x + 2,-152,988,988,209,19,0,D(4),7345884
x^4 - 15*x^3 - 13*x^2 + 6*x + 12,-408,1308,1272,189,3,0,D(4),-153059676
x^4 - 15*x^3 - 13*x^2 + 12*x - 2,-2232,2892,2844,81,3,0,D(4),710028
x^4 - 15*x^3 - 13*x^2 + 15*x + 1,-4035,4035,4035,0,4035,1,D(4),81406125
x^4 - 15*x^3 - 12*x^2 - 15*x + 1,4215,2810,4215,0,1405,1,D(4),-63168800
x^4 - 15*x^3 - 12*x^2 - 13*x - 13,2941,2198,3359,56,1,0,D(4),-202983196
x^4 - 15*x^3 - 12*x^2 + 1,120,560,720,225,5,0,D(4),113125
x^4 - 15*x^3 - 12*x^2 + 13,120,560,720,225,5,0,D(4),-274730963
x^4 - 15*x^3 - 12*x^2 + 6*x + 3,-384,1172,1212,189,1,0,D(4),10752453
x^4 - 15*x^3 - 12*x^2 + 15*x + 1,-3975,3710,3975,0,265,1,D(4),76966600
x^4 - 15*x^3 - 11*x^2 - 15*x + 1,4155,2493,4155,0,831,1,D(4),-62841051
x^4 - 15*x^3 - 11*x^2 - 11*x - 12,1935,1469,2563,104,1,0,D(4),-179314912
x^4 - 15*x^3 - 11*x^2 - 3*x + 4,279,477,819,216,9,0,D(4),-32234400
x^4 - 15*x^3 - 11*x^2 + 8*x + 4,-744,1412,1556,161,1,0,D(4),13977920
x^4 - 15*x^3 - 11*x^2 + 10*x + 4,-1320,1868,2080,125,1,0,D(4),29204900
x^4 - 15*x^3 - 11*x^2 + 15*x + 1,-3915,3393,3915,0,261,1,D(4),72821349
x^4 - 15*x^3 - 10*x^2 - 15*x - 5,4095,2184,4095,0,273,1,D(4),-41382000
