polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 15*x^3 - 14*x^2 + 15*x + 1,-4095,4368,4095,0,273,1,E(4),86155524
x^4 - 15*x^3 + 2*x^2 + 15*x + 1,-3135,0,3135,0,3135,2,E(4),39312900
x^4 - 15*x^3 - 14*x^2 + 15*x + 1,-4095,4368,4095,0,273,1,E(4),86155524
x^4 - 15*x^3 + 2*x^2 + 15*x + 1,-3135,0,3135,0,3135,2,E(4),39312900
x^4 - 14*x^3 - 11*x^2 + 6*x + 3,-368,1032,1072,160,8,0,E(4),7617600
x^4 - 14*x^3 - 3*x^2 + 4*x + 1,0,180,360,180,180,1,E(4),291600
x^4 - 14*x^3 - x^2 + 8*x - 2,-432,276,888,132,12,0,E(4),831744
x^4 - 14*x^3 + 2*x^2 + 14*x + 1,-2520,0,2520,0,2520,2,E(4),25401600
x^4 - 14*x^3 + 9*x^2 + 10*x - 5,-528,-312,816,96,24,0,E(4),10497600
x^4 - 14*x^3 + 11*x^2 + 2*x - 2,192,480,-576,192,96,0,E(4),435600
x^4 - 14*x^3 + 15*x^2 - 2*x - 1,0,768,-768,192,192,1,E(4),270400
x^4 - 13*x^3 + 2*x^2 + 13*x + 1,-1989,0,1989,0,1989,2,E(4),15824484
x^4 - 12*x^3 - 8*x^2 + 12*x + 1,-2016,1680,2016,0,336,1,E(4),19079424
x^4 - 12*x^3 - 5*x^2 + 12*x + 1,-1872,1092,1872,0,156,1,E(4),15210000
x^4 - 12*x^3 + 2*x^2 + 12*x + 1,-1536,0,1536,0,1536,2,E(4),9437184
x^4 - 12*x^3 + 8*x^2 + 8*x - 4,-160,-80,320,80,80,0,E(4),3686400
x^4 - 12*x^3 + 12*x^2 + 12*x + 1,-1056,-880,1056,0,176,1,E(4),5234944
x^4 - 11*x^3 - 7*x^2 + 8*x + 4,-648,804,948,57,3,0,E(4),2822400
x^4 - 11*x^3 + 7*x - 1,-255,138,483,72,3,0,E(4),1416100
x^4 - 11*x^3 + 2*x^2 + 11*x + 1,-1155,0,1155,0,1155,2,E(4),5336100
x^4 - 11*x^3 + 7*x^2 + 6*x - 4,40,60,40,85,5,0,E(4),152100
x^4 - 10*x^3 - 11*x^2 + 12*x + 9,-2176,2292,1784,-44,4,0,E(4),14288400
x^4 - 10*x^3 - 3*x^2 + 14*x + 7,-2832,888,1968,-96,24,0,E(4),2286144
x^4 - 10*x^3 + 2*x^2 + 10*x + 1,-840,0,840,0,840,2,E(4),2822400
x^4 - 10*x^3 + 3*x^2 + 8*x + 2,-336,-12,456,36,12,0,E(4),73984
x^4 - 10*x^3 + 7*x^2 + 6*x - 3,32,48,32,64,16,0,E(4),1016064
x^4 - 10*x^3 + 9*x^2 + 2*x - 1,144,312,-336,96,24,0,E(4),270400
