polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 2*x^3 - 11*x^2 + 22*x + 1,-11600,5880,880,-480,40,0,C(4),968000
x^4 - 4*x^3 - 7*x^2 + 22*x + 1,-11232,3744,1872,-468,468,0,C(4),2847312
x^4 - 7*x^3 - 6*x^2 + 20*x + 1,-8424,2808,2808,-351,351,0,C(4),14414517
x^4 - 4*x^3 - 19*x^2 + 16*x + 1,-5280,6420,1200,-240,60,0,C(4),17298000
x^4 - 4*x^3 - 9*x^2 + 16*x + 1,-4640,2740,1040,-240,20,0,C(4),3362000
x^4 - 6*x^3 - 14*x^2 + 14*x + 1,-3480,3680,1400,-160,40,0,C(4),11552000
x^4 + 2*x^3 - 16*x^2 + 13*x + 1,-3045,3660,-570,-165,15,0,C(4),946125
x^4 - 6*x^3 + x^2 + 14*x + 1,-2640,-40,1040,-160,40,0,C(4),968000
x^4 + x^3 - 19*x^2 + 11*x + 1,-2175,3705,-285,-120,15,0,C(4),3916125
x^4 - 8*x^3 + 4*x^2 + 13*x + 1,-1925,-420,1120,-105,35,0,C(4),2211125
x^4 - 4*x^3 - 2*x^2 + 12*x + 1,-1792,384,512,-128,128,0,C(4),131072
x^4 + 8*x^3 + 19*x^2 + 12*x + 1,-880,-1500,-640,-80,20,0,C(4),2000
x^4 + 2*x^3 - 11*x^2 + 8*x + 1,-880,1140,-280,-60,20,0,C(4),2000
x^4 - 6*x^3 - 4*x^2 + 9*x + 1,-825,480,510,-45,15,0,C(4),946125
x^4 + x^3 - 14*x^2 + 6*x + 1,-560,1260,-140,-35,35,0,C(4),741125
x^4 - 2*x^3 - 6*x^2 + 7*x + 1,-495,450,90,-45,45,0,C(4),91125
x^4 - 14*x^3 - 14*x^2 + 6*x + 1,-440,1440,1240,160,40,0,C(4),11552000
x^4 - 20*x^3 - 6*x^2 + 7*x + 1,-351,702,1404,351,351,0,C(4),14414517
x^4 - 9*x^3 - 4*x^2 + 6*x + 1,-240,300,420,45,15,0,C(4),946125
x^4 + 13*x^3 - 16*x^2 + 2*x + 1,-240,1020,-900,165,15,0,C(4),946125
x^4 - 16*x^3 - 19*x^2 + 4*x + 1,-240,1860,1440,240,60,0,C(4),17298000
x^4 - 3*x^3 + 19*x^2 - 7*x + 1,-165,455,-25,-40,5,0,C(4),465125
x^4 + 11*x^3 - 19*x^2 + x + 1,-165,1425,-855,120,15,0,C(4),3916125
x^4 + 8*x^3 - 11*x^2 + 2*x + 1,-160,480,-400,60,20,0,C(4),2000
x^4 - 7*x^3 + 19*x^2 - 3*x + 1,-145,1215,-445,40,5,0,C(4),465125
x^4 + 7*x^3 + 14*x^2 + 8*x + 1,-120,-240,-120,-15,15,0,C(4),1125
x^4 + 6*x^3 - 14*x^2 + x + 1,-105,770,-350,35,35,0,C(4),741125
x^4 - 14*x^3 + x^2 + 6*x + 1,-80,120,400,160,40,0,C(4),968000
x^4 - 16*x^3 - 9*x^2 + 4*x + 1,-80,580,800,240,20,0,C(4),3362000
x^4 + 22*x^3 - 11*x^2 - 2*x + 1,-80,600,-1040,480,40,0,C(4),968000
x^4 + 4*x^3 + 6*x^2 - x + 1,-55,130,100,15,5,0,C(4),15125
x^4 + x^3 + 6*x^2 - 4*x + 1,-40,40,40,-15,5,0,C(4),15125
x^4 + 4*x^3 - 4*x^2 - x + 1,-15,60,-60,15,15,0,C(4),1125
x^4 - 4*x^3 - 4*x^2 + x + 1,15,60,60,15,15,0,C(4),1125
x^4 - x^3 + 6*x^2 + 4*x + 1,40,40,-40,-15,5,0,C(4),15125
x^4 - 4*x^3 + 6*x^2 + x + 1,55,130,-100,15,5,0,C(4),15125
x^4 + 14*x^3 + x^2 - 6*x + 1,80,120,-400,160,40,0,C(4),968000
x^4 + 16*x^3 - 9*x^2 - 4*x + 1,80,580,-800,240,20,0,C(4),3362000
x^4 - 22*x^3 - 11*x^2 + 2*x + 1,80,600,1040,480,40,0,C(4),968000
x^4 - 6*x^3 - 14*x^2 - x + 1,105,770,350,35,35,0,C(4),741125
x^4 - 7*x^3 + 14*x^2 - 8*x + 1,120,-240,120,-15,15,0,C(4),1125
x^4 + 7*x^3 + 19*x^2 + 3*x + 1,145,1215,445,40,5,0,C(4),465125
x^4 - 8*x^3 - 11*x^2 - 2*x + 1,160,480,400,60,20,0,C(4),2000
x^4 + 3*x^3 + 19*x^2 + 7*x + 1,165,455,25,-40,5,0,C(4),465125
x^4 - 11*x^3 - 19*x^2 - x + 1,165,1425,855,120,15,0,C(4),3916125
x^4 + 9*x^3 - 4*x^2 - 6*x + 1,240,300,-420,45,15,0,C(4),946125
x^4 - 13*x^3 - 16*x^2 - 2*x + 1,240,1020,900,165,15,0,C(4),946125
x^4 + 16*x^3 - 19*x^2 - 4*x + 1,240,1860,-1440,240,60,0,C(4),17298000
x^4 + 20*x^3 - 6*x^2 - 7*x + 1,351,702,-1404,351,351,0,C(4),14414517
