polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 2*x^3 - 24*x^2 + 25*x + 1,-18009,17388,1242,-621,621,0,D(4),45119997
x^4 - x^3 - 14*x^2 + 25*x + 1,-17017,9568,481,-624,13,0,D(4),173732
x^4 - 5*x^3 - 13*x^2 + 25*x + 1,-16885,9035,3185,-600,5,0,D(4),25453125
x^4 - 3*x^3 - 8*x^2 + 25*x + 1,-16401,5390,1771,-616,77,0,D(4),-664048
x^4 - 24*x^2 + 24*x + 1,-16128,16112,-192,-576,16,0,D(4),26136832
x^4 - 2*x^3 - 23*x^2 + 24*x + 1,-16016,15444,1144,-572,572,0,D(4),36971792
x^4 - 5*x^3 - 2*x^2 + 25*x + 1,-15785,1500,2965,-600,5,0,D(4),40100
x^4 - 17*x^2 + 24*x + 1,-15456,10932,-192,-576,12,0,D(4),2251152
x^4 - 16*x^2 + 24*x + 1,-15360,10224,-192,-576,48,0,D(4),168192
x^4 - 10*x^3 + 2*x^2 + 25*x + 1,-15345,-750,5970,-525,15,0,D(4),45346725
x^4 - 18*x^3 - 15*x^2 + 24*x + 1,-15120,10388,11256,-252,28,0,D(4),475387024
x^4 - 12*x^2 + 24*x + 1,-14976,7472,-192,-576,16,0,D(4),-5658368
x^4 + 10*x^3 + 8*x^2 + 25*x + 1,-14905,-5260,-6130,-525,5,0,D(4),-45511875
x^4 + x^3 + 8*x^2 + 25*x + 1,-14833,-4810,-793,-624,13,0,D(4),-8955648
x^4 - 4*x^3 - 8*x^2 + 24*x + 1,-14560,5040,2240,-560,560,0,D(4),4390400
x^4 - 9*x^3 - 8*x^2 + 24*x + 1,-14520,5280,5280,-495,165,0,D(4),56110725
x^4 + 5*x^3 + 12*x^2 + 25*x + 1,-14465,-7190,-3085,-600,5,0,D(4),-3190000
x^4 - 6*x^3 - 7*x^2 + 24*x + 1,-14448,4500,3432,-540,12,0,D(4),15794064
x^4 - 2*x^3 - 22*x^2 + 23*x + 1,-14175,13650,1050,-525,525,0,D(4),30043125
x^4 - 7*x^3 - 22*x^2 + 23*x + 1,-14135,13880,4135,-480,5,0,D(4),91052100
x^4 + 6*x^3 + x^2 + 24*x + 1,-13776,-876,-3624,-540,12,0,D(4),-19407600
x^4 + 7*x^3 - 16*x^2 + 23*x + 1,-13695,9150,-4335,-480,15,0,D(4),-38808000
x^4 - 6*x^3 + x^2 + 24*x + 1,-13680,-300,3240,-540,60,0,D(4),1386000
x^4 - 16*x^3 + x^2 + 24*x + 1,-13600,180,8960,-320,20,0,D(4),209498000
x^4 - 10*x^3 - 16*x^2 + 23*x + 1,-13559,9932,5746,-429,13,0,D(4),110359197
x^4 - 10*x^3 + 20*x^2 + 25*x + 1,-13545,-10416,5250,-525,21,0,D(4),503181
x^4 + 4*x^2 + 24*x + 1,-13440,-2256,-192,-576,48,0,D(4),-8771328
x^4 + 5*x^3 + 23*x^2 + 25*x + 1,-13365,-12525,-2865,-600,15,0,D(4),-6952275
x^4 - 2*x^3 - 12*x^2 + 23*x + 1,-13255,7000,970,-525,5,0,D(4),2036525
x^4 - 8*x^3 + 10*x^2 + 24*x + 1,-12800,-4992,4096,-512,128,0,D(4),671744
x^4 + 11*x^2 + 24*x + 1,-12768,-5868,-192,-576,12,0,D(4),-10893168
x^4 - 9*x^3 + 12*x^2 + 24*x + 1,-12600,-5920,4560,-495,5,0,D(4),6398725
x^4 - 7*x^3 - 22*x^2 + 22*x + 1,-12528,12876,3828,-435,87,0,D(4),82751877
x^4 - 5*x^3 - 4*x^2 + 23*x + 1,-12495,2394,2541,-504,21,0,D(4),3224592
x^4 - 2*x^3 - 21*x^2 + 22*x + 1,-12480,12000,960,-480,480,0,D(4),24192000
x^4 + 4*x^3 + 16*x^2 + 24*x + 1,-12320,-8400,-2240,-560,560,0,D(4),-3136000
