polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 + 2*x^3 - 22*x^2 + 22*x + 1,-12600,12480,-1320,-480,120,0,E(4),6969600
x^4 - 8*x^3 - 7*x^2 + 22*x + 1,-11200,3920,3920,-420,140,0,E(4),29811600
x^4 - 2*x^3 - 15*x^2 + 16*x + 1,-5040,4788,504,-252,252,0,E(4),5143824
x^4 + 8*x^3 + 20*x^2 + 16*x + 1,-2880,-3792,-1536,-192,48,0,E(4),2304
x^4 - 4*x^3 - 3*x^2 + 14*x + 1,-2880,720,720,-180,180,0,E(4),291600
x^4 - 2*x^3 - 7*x^2 + 8*x + 1,-720,660,120,-60,60,0,E(4),176400
x^4 - 22*x^3 - 7*x^2 + 8*x + 1,-560,980,1960,420,140,0,E(4),29811600
x^4 + 22*x^3 - 22*x^2 + 2*x + 1,-360,1920,-2040,480,120,0,E(4),6969600
x^4 - 22*x^3 - 22*x^2 - 2*x + 1,360,1920,2040,480,120,0,E(4),6969600
x^4 + 22*x^3 - 7*x^2 - 8*x + 1,560,980,-1960,420,140,0,E(4),29811600
x^4 + 2*x^3 - 7*x^2 - 8*x + 1,720,660,-120,-60,60,0,E(4),176400
x^4 - 8*x^3 + 20*x^2 - 16*x + 1,2880,-3792,1536,-192,48,0,E(4),2304
x^4 + 4*x^3 - 3*x^2 - 14*x + 1,2880,720,-720,-180,180,0,E(4),291600
x^4 + 2*x^3 - 15*x^2 - 16*x + 1,5040,4788,-504,-252,252,0,E(4),5143824
x^4 + 8*x^3 - 7*x^2 - 22*x + 1,11200,3920,-3920,-420,140,0,E(4),29811600
x^4 - 2*x^3 - 22*x^2 - 22*x + 1,12600,12480,1320,-480,120,0,E(4),6969600
