polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 24*x^3 - 25*x^2 + 3*x + 1,-135,2853,2592,567,9,0,A4,58936329
x^4 - 21*x^3 - 22*x^2 - 3*x + 1,459,1992,2061,432,3,0,A4,3392964
x^4 - 21*x^3 + 11*x^2 + 16*x + 1,-3224,-1676,4324,185,1,0,A4,112254025
x^4 - 20*x^3 + 15*x^2 + 9*x + 1,-29,29,348,319,29,0,A4,1151329
x^4 - 20*x^3 + 20*x^2 + 12*x + 1,-608,-816,1184,256,16,0,A4,20502784
x^4 - 19*x^3 - 9*x^2 + 8*x + 1,-648,1188,1836,297,27,0,A4,24413481
x^4 - 18*x^3 - 7*x^2 + 9*x + 1,-837,1071,1890,243,9,0,A4,24235929
x^4 - 18*x^3 + 21*x^2 + 14*x + 1,-1424,-1864,1904,128,8,0,A4,32535616
x^4 - 17*x^3 - 15*x^2 + 1,136,884,1020,289,17,0,A4,1803649
x^4 - 16*x^3 + 11*x^2 + 21*x + 1,-8209,-3711,6184,-185,1,0,A4,112254025
x^4 - 15*x^3 - 10*x^2 + 3*x + 1,-27,564,711,216,3,0,A4,2196324
x^4 - 14*x^3 + 21*x^2 + 18*x + 1,-4208,-4552,3216,-128,8,0,A4,32535616
x^4 - 14*x^3 + 23*x^2 - 9*x + 1,13,-15,-82,115,1,0,A4,26569
x^4 - 13*x^3 + 14*x^2 + 9*x + 1,-121,-132,253,88,11,0,A4,894916
x^4 - 12*x^3 - 4*x^2 + 4*x + 1,-32,208,352,128,16,0,A4,473344
x^4 - 12*x^3 + 20*x^2 + 20*x + 1,-6304,-5936,3680,-256,16,0,A4,20502784
x^4 - 12*x^3 + 23*x^2 + 11*x + 1,-223,-419,260,23,1,0,A4,877969
x^4 - 11*x^3 + 23*x^2 + 12*x + 1,-536,-948,476,-23,1,0,A4,877969
x^4 - 10*x^3 + 5*x^2 + 6*x + 1,-16,24,112,64,8,0,A4,61504
x^4 - 9*x^3 - 7*x^2 + 18*x + 1,-6264,2772,3024,-243,9,0,A4,24235929
x^4 - 9*x^3 + 11*x^2 + 8*x + 1,-88,-92,116,17,1,0,A4,121801
x^4 - 9*x^3 + 14*x^2 + 13*x + 1,-1397,-1364,913,-88,11,0,A4,894916
x^4 - 9*x^3 + 15*x^2 + 20*x + 1,-6728,-4756,2900,-319,29,0,A4,1151329
x^4 - 9*x^3 + 21*x^2 - 2*x + 1,-88,1628,-704,77,11,0,A4,43681
x^4 - 9*x^3 + 23*x^2 - 14*x + 1,1528,-2660,1048,-115,1,0,A4,26569
x^4 - 8*x^3 - 9*x^2 + 19*x + 1,-7479,3861,3024,-297,27,0,A4,24413481
x^4 - 8*x^3 + 11*x^2 + 9*x + 1,-269,-279,224,-17,1,0,A4,121801
x^4 - 8*x^3 + 18*x^2 + 1,64,1280,-576,64,64,0,A4,200704
x^4 - 7*x^3 + 5*x^2 + 6*x + 1,-40,-12,64,13,1,0,A4,26569
x^4 - 7*x^3 + 11*x^2 + 6*x + 1,104,156,-104,13,13,0,A4,8281
x^4 - 6*x^3 - 19*x^2 + 3*x + 1,-207,1635,486,27,3,0,A4,4052169
x^4 - 6*x^3 - 13*x^2 + 2*x + 1,-64,736,320,32,32,0,A4,984064
x^4 - 6*x^3 + 5*x^2 + 7*x + 1,-155,-77,118,-13,1,0,A4,26569
x^4 - 6*x^3 + 5*x^2 + 10*x + 1,-752,-296,400,-64,8,0,A4,61504
x^4 - 6*x^3 + 11*x^2 + 7*x + 1,13,13,-26,-13,13,0,A4,8281
x^4 - 6*x^3 + 18*x^2 + 2*x + 1,184,1232,-424,32,8,0,A4,984064
x^4 - 4*x^3 - 4*x^2 + 12*x + 1,-1888,720,544,-128,16,0,A4,473344
x^4 - 4*x^3 + 9*x^2 - 3*x + 1,-49,203,-84,7,7,0,A4,17689
x^4 - 3*x^3 - 25*x^2 + 24*x + 1,-16200,17028,1836,-567,9,0,A4,58936329
x^4 - 3*x^3 - 22*x^2 - 21*x + 1,11133,11496,1755,-432,3,0,A4,3392964
x^4 - 3*x^3 - 19*x^2 + 6*x + 1,-648,2148,288,-27,3,0,A4,4052169
x^4 - 3*x^3 - 16*x^2 + x + 1,-41,1030,187,8,1,0,A4,1227664
x^4 - 3*x^3 - 10*x^2 + 15*x + 1,-3951,2724,675,-216,3,0,A4,2196324
x^4 - 3*x^3 - 7*x^2 + 1,24,180,84,9,3,0,A4,33489
x^4 - 3*x^3 + 3*x^2 + 2*x + 1,40,20,-40,5,5,0,A4,4225
x^4 - 3*x^3 + 9*x^2 - 4*x + 1,-56,140,-28,-7,7,0,A4,17689
x^4 - 3*x^3 + 23*x^2 + 2*x + 1,200,2020,-280,5,5,0,A4,4060225
x^4 - 2*x^3 - 13*x^2 + 6*x + 1,-512,1152,128,-32,32,0,A4,984064
x^4 - 2*x^3 + 3*x^2 + 3*x + 1,25,5,-30,-5,5,0,A4,4225
x^4 - 2*x^3 + 18*x^2 + 6*x + 1,232,656,-120,-32,8,0,A4,984064
x^4 - 2*x^3 + 21*x^2 - 9*x + 1,-11,11,66,-77,11,0,A4,43681
x^4 - 2*x^3 + 23*x^2 + 3*x + 1,265,1905,-190,-5,5,0,A4,4060225
x^4 - x^3 - 16*x^2 + 3*x + 1,-211,1158,49,-8,1,0,A4,1227664
x^4 - 15*x^2 - 17*x + 1,5933,5219,136,-289,17,0,A4,1803649
x^4 - 15*x^2 + 17*x + 1,-5933,5219,-136,-289,17,0,A4,1803649
x^4 - 7*x^2 - 3*x + 1,111,243,24,-9,3,0,A4,33489
x^4 - 7*x^2 + 3*x + 1,-111,243,-24,-9,3,0,A4,33489
x^4 + 18*x^2 - 8*x + 1,-64,128,64,-64,64,0,A4,200704
x^4 + 18*x^2 + 8*x + 1,64,128,-64,-64,64,0,A4,200704
x^4 + x^3 - 16*x^2 - 3*x + 1,211,1158,-49,-8,1,0,A4,1227664
x^4 + 2*x^3 - 13*x^2 - 6*x + 1,512,1152,-128,-32,32,0,A4,984064
x^4 + 2*x^3 + 3*x^2 - 3*x + 1,-25,5,30,-5,5,0,A4,4225
x^4 + 2*x^3 + 18*x^2 - 6*x + 1,-232,656,120,-32,8,0,A4,984064
x^4 + 2*x^3 + 21*x^2 + 9*x + 1,11,11,-66,-77,11,0,A4,43681
x^4 + 2*x^3 + 23*x^2 - 3*x + 1,-265,1905,190,-5,5,0,A4,4060225
x^4 + 3*x^3 - 25*x^2 - 24*x + 1,16200,17028,-1836,-567,9,0,A4,58936329
x^4 + 3*x^3 - 22*x^2 + 21*x + 1,-11133,11496,-1755,-432,3,0,A4,3392964
x^4 + 3*x^3 - 19*x^2 - 6*x + 1,648,2148,-288,-27,3,0,A4,4052169
x^4 + 3*x^3 - 16*x^2 - x + 1,41,1030,-187,8,1,0,A4,1227664
x^4 + 3*x^3 - 10*x^2 - 15*x + 1,3951,2724,-675,-216,3,0,A4,2196324
x^4 + 3*x^3 - 7*x^2 + 1,-24,180,-84,9,3,0,A4,33489
x^4 + 3*x^3 + 3*x^2 - 2*x + 1,-40,20,40,5,5,0,A4,4225
x^4 + 3*x^3 + 9*x^2 + 4*x + 1,56,140,28,-7,7,0,A4,17689
x^4 + 3*x^3 + 23*x^2 - 2*x + 1,-200,2020,280,5,5,0,A4,4060225
x^4 + 4*x^3 - 4*x^2 - 12*x + 1,1888,720,-544,-128,16,0,A4,473344
x^4 + 4*x^3 + 9*x^2 + 3*x + 1,49,203,84,7,7,0,A4,17689
x^4 + 6*x^3 - 19*x^2 - 3*x + 1,207,1635,-486,27,3,0,A4,4052169
x^4 + 6*x^3 - 13*x^2 - 2*x + 1,64,736,-320,32,32,0,A4,984064
x^4 + 6*x^3 + 5*x^2 - 10*x + 1,752,-296,-400,-64,8,0,A4,61504
x^4 + 6*x^3 + 5*x^2 - 7*x + 1,155,-77,-118,-13,1,0,A4,26569
x^4 + 6*x^3 + 11*x^2 - 7*x + 1,-13,13,26,-13,13,0,A4,8281
x^4 + 6*x^3 + 18*x^2 - 2*x + 1,-184,1232,424,32,8,0,A4,984064
x^4 + 7*x^3 + 5*x^2 - 6*x + 1,40,-12,-64,13,1,0,A4,26569
x^4 + 7*x^3 + 11*x^2 - 6*x + 1,-104,156,104,13,13,0,A4,8281
x^4 + 8*x^3 - 9*x^2 - 19*x + 1,7479,3861,-3024,-297,27,0,A4,24413481
x^4 + 8*x^3 + 11*x^2 - 9*x + 1,269,-279,-224,-17,1,0,A4,121801
x^4 + 8*x^3 + 18*x^2 + 1,-64,1280,576,64,64,0,A4,200704
x^4 + 9*x^3 - 7*x^2 - 18*x + 1,6264,2772,-3024,-243,9,0,A4,24235929
x^4 + 9*x^3 + 11*x^2 - 8*x + 1,88,-92,-116,17,1,0,A4,121801
x^4 + 9*x^3 + 14*x^2 - 13*x + 1,1397,-1364,-913,-88,11,0,A4,894916
x^4 + 9*x^3 + 15*x^2 - 20*x + 1,6728,-4756,-2900,-319,29,0,A4,1151329
x^4 + 9*x^3 + 21*x^2 + 2*x + 1,88,1628,704,77,11,0,A4,43681
x^4 + 9*x^3 + 23*x^2 + 14*x + 1,-1528,-2660,-1048,-115,1,0,A4,26569
x^4 + 10*x^3 + 5*x^2 - 6*x + 1,16,24,-112,64,8,0,A4,61504
x^4 + 11*x^3 + 23*x^2 - 12*x + 1,536,-948,-476,-23,1,0,A4,877969
x^4 + 12*x^3 - 4*x^2 - 4*x + 1,32,208,-352,128,16,0,A4,473344
x^4 + 12*x^3 + 20*x^2 - 20*x + 1,6304,-5936,-3680,-256,16,0,A4,20502784
x^4 + 12*x^3 + 23*x^2 - 11*x + 1,223,-419,-260,23,1,0,A4,877969
x^4 + 13*x^3 + 14*x^2 - 9*x + 1,121,-132,-253,88,11,0,A4,894916
x^4 + 14*x^3 + 21*x^2 - 18*x + 1,4208,-4552,-3216,-128,8,0,A4,32535616
x^4 + 14*x^3 + 23*x^2 + 9*x + 1,-13,-15,82,115,1,0,A4,26569
x^4 + 15*x^3 - 10*x^2 - 3*x + 1,27,564,-711,216,3,0,A4,2196324
x^4 + 16*x^3 + 11*x^2 - 21*x + 1,8209,-3711,-6184,-185,1,0,A4,112254025
x^4 + 17*x^3 - 15*x^2 + 1,-136,884,-1020,289,17,0,A4,1803649
x^4 + 18*x^3 - 7*x^2 - 9*x + 1,837,1071,-1890,243,9,0,A4,24235929
x^4 + 18*x^3 + 21*x^2 - 14*x + 1,1424,-1864,-1904,128,8,0,A4,32535616
x^4 + 19*x^3 - 9*x^2 - 8*x + 1,648,1188,-1836,297,27,0,A4,24413481
x^4 + 20*x^3 + 15*x^2 - 9*x + 1,29,29,-348,319,29,0,A4,1151329
x^4 + 20*x^3 + 20*x^2 - 12*x + 1,608,-816,-1184,256,16,0,A4,20502784
x^4 + 21*x^3 - 22*x^2 + 3*x + 1,-459,1992,-2061,432,3,0,A4,3392964
x^4 + 21*x^3 + 11*x^2 - 16*x + 1,3224,-1676,-4324,185,1,0,A4,112254025
x^4 + 24*x^3 - 25*x^2 - 3*x + 1,135,2853,-2592,567,9,0,A4,58936329
