polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 25*x^3 - 6*x^2 + 25*x + 1,(16025)*x^3 + (5128)*x^2 + (-16025)*x^1 + (0),(16025) * x * (x^2 + 8/25*x - 1),16025,5128,-16025,0,641,1,C(4),1053498884
x^4 - 24*x^3 - 6*x^2 + 24*x + 1,(14208)*x^3 + (4736)*x^2 + (-14208)*x^1 + (0),(14208) * x * (x^2 + 1/3*x - 1),14208,4736,-14208,0,4736,1,C(4),829898752
x^4 - 23*x^3 - 21*x^2 + 23*x + 1,(13915)*x^3 + (13915)*x^2 + (-13915)*x^1 + (0),(13915) * x * (x^2 + x - 1),13915,13915,-13915,0,13915,1,C(4),968136125
x^4 - 23*x^3 - 6*x^2 + 23*x + 1,(12535)*x^3 + (4360)*x^2 + (-12535)*x^1 + (0),(12535) * x * (x^2 + 8/23*x - 1),12535,4360,-12535,0,545,1,C(4),647514500
x^4 - 22*x^3 - 11*x^2 + 2*x + 1,(11600)*x^3 + (5880)*x^2 + (-880)*x^1 + (-480),(11600) * (x + 3/10) * (x^2 + 6/29*x - 4/29),11600,5880,-880,-480,40,0,C(4),968000
x^4 - 22*x^3 - 7*x^2 + 4*x + 1,(11232)*x^3 + (3744)*x^2 + (-1872)*x^1 + (-468),(11232) * (x + 1/2) * (x^2 - 1/6*x - 1/12),11232,3744,-1872,-468,468,0,C(4),2847312
x^4 - 22*x^3 - 6*x^2 + 22*x + 1,(11000)*x^3 + (4000)*x^2 + (-11000)*x^1 + (0),(11000) * x * (x^2 + 4/11*x - 1),11000,4000,-11000,0,1000,1,C(4),500000000
x^4 - 21*x^3 - 6*x^2 + 21*x + 1,(9597)*x^3 + (3656)*x^2 + (-9597)*x^1 + (0),(9597) * x * (x^2 + 8/21*x - 1),9597,3656,-9597,0,457,1,C(4),381775972
x^4 - 20*x^3 - 6*x^2 + 7*x + 1,(8424)*x^3 + (2808)*x^2 + (-2808)*x^1 + (-351),(8424) * (x - 1/2) * (x^2 + 5/6*x + 1/12),8424,2808,-2808,-351,351,0,C(4),14414517
x^4 - 20*x^3 - 6*x^2 + 20*x + 1,(8320)*x^3 + (3328)*x^2 + (-8320)*x^1 + (0),(8320) * x * (x^2 + 2/5*x - 1),8320,3328,-8320,0,1664,1,C(4),287965184
x^4 - 19*x^3 - 6*x^2 + 19*x + 1,(7163)*x^3 + (3016)*x^2 + (-7163)*x^1 + (0),(7163) * x * (x^2 + 8/19*x - 1),7163,3016,-7163,0,377,1,C(4),214330532
x^4 - 18*x^3 - 6*x^2 + 18*x + 1,(6120)*x^3 + (2720)*x^2 + (-6120)*x^1 + (0),(6120) * x * (x^2 + 4/9*x - 1),6120,2720,-6120,0,680,1,C(4),157216000
x^4 - 18*x^3 + 11*x^2 + 18*x + 1,(4896)*x^3 + (-2448)*x^2 + (-4896)*x^1 + (0),(4896) * x * (x^2 - 1/2*x - 1),4896,-2448,-4896,0,2448,1,C(4),101875968
