polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 25*x^3 - 25*x^2 - 25*x + 1,18325,16859,18325,0,733,1,D(4),-1058996619
x^4 - 25*x^3 - 25*x^2 + 25*x + 1,-17925,19359,17925,0,717,1,D(4),1659993381
x^4 - 25*x^3 - 24*x^2 + 2*x + 1,0,2484,2484,621,621,1,D(4),45119997
x^4 - 25*x^3 - 24*x^2 + 25*x + 1,-17825,18538,17825,0,713,1,D(4),1614579944
x^4 - 25*x^3 - 23*x^2 - 25*x + 1,18125,15225,18125,0,725,1,D(4),-1082261875
x^4 - 25*x^3 - 23*x^2 + 25*x + 1,-17725,17725,17725,0,17725,1,D(4),1570878125
x^4 - 25*x^3 - 22*x^2 - 25*x + 1,18025,14420,18025,0,3605,1,D(4),-1091666100
x^4 - 25*x^3 - 22*x^2 + 25*x + 1,-17625,16920,17625,0,705,1,D(4),1528848900
x^4 - 25*x^3 - 21*x^2 - 25*x + 1,17925,13623,17925,0,717,1,D(4),-1099636371
x^4 - 25*x^3 - 21*x^2 + 25*x + 1,-17525,16123,17525,0,701,1,D(4),1488453629
x^4 - 25*x^3 - 20*x^2 - 25*x + 1,17825,12834,17825,0,713,1,D(4),-1106210944
x^4 - 25*x^3 - 20*x^2 + 25*x + 1,-17425,15334,17425,0,697,1,D(4),1449654056
x^4 - 25*x^3 - 19*x^2 - 25*x + 1,17725,12053,17725,0,709,1,D(4),-1111427691
x^4 - 25*x^3 - 19*x^2 + 25*x + 1,-17325,14553,17325,0,693,1,D(4),1412412309
x^4 - 25*x^3 - 18*x^2 - 25*x + 1,17625,11280,17625,0,705,1,D(4),-1115324100
x^4 - 25*x^3 - 18*x^2 + 25*x + 1,-17225,13780,17225,0,3445,1,D(4),1376690900
x^4 - 25*x^3 - 17*x^2 - 25*x + 1,17525,10515,17525,0,3505,1,D(4),-1117937275
x^4 - 25*x^3 - 17*x^2 + 25*x + 1,-17125,13015,17125,0,685,1,D(4),1342452725
x^4 - 25*x^3 - 16*x^2 - 25*x + 1,17425,9758,17425,0,697,1,D(4),-1119303936
x^4 - 25*x^3 - 16*x^2 + 25*x + 1,-17025,12258,17025,0,681,1,D(4),1309661064
x^4 - 25*x^3 - 15*x^2 - 25*x + 1,17325,9009,17325,0,693,1,D(4),-1119460419
x^4 - 25*x^3 - 15*x^2 + 25*x + 1,-16925,11509,16925,0,677,1,D(4),1278279581
x^4 - 25*x^3 - 14*x^2 - 25*x + 1,17225,8268,17225,0,689,1,D(4),-1118442676
x^4 - 25*x^3 - 14*x^2 + x + 1,143,832,1417,624,13,0,D(4),173732
