polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 25*x^3 + 2*x^2 + 25*x + 1,(15225)*x^3 + (0)*x^2 + (-15225)*x^1 + (0),(15225) * (x - 1) * x * (x + 1),15225,0,-15225,0,15225,2,E(4),927202500
x^4 - 24*x^3 - 18*x^2 + 24*x + 1,(15360)*x^3 + (12800)*x^2 + (-15360)*x^1 + (0),(15360) * (x - 2/3) * x * (x + 3/2),15360,12800,-15360,0,2560,1,E(4),1107558400
x^4 - 24*x^3 - 12*x^2 + 24*x + 1,(14784)*x^3 + (8624)*x^2 + (-14784)*x^1 + (0),(14784) * (x - 3/4) * x * (x + 4/3),14784,8624,-14784,0,1232,1,E(4),948640000
x^4 - 24*x^3 + 2*x^2 + 24*x + 1,(13440)*x^3 + (0)*x^2 + (-13440)*x^1 + (0),(13440) * (x - 1) * x * (x + 1),13440,0,-13440,0,13440,2,E(4),722534400
x^4 - 24*x^3 + 16*x^2 + 24*x + 1,(12096)*x^3 + (-7056)*x^2 + (-12096)*x^1 + (0),(12096) * (x - 4/3) * x * (x + 3/4),12096,-7056,-12096,0,1008,1,E(4),635040000
x^4 - 24*x^3 + 22*x^2 + 24*x + 1,(11520)*x^3 + (-9600)*x^2 + (-11520)*x^1 + (0),(11520) * (x - 3/2) * x * (x + 2/3),11520,-9600,-11520,0,1920,1,E(4),623001600
x^4 - 23*x^3 + 2*x^2 + 23*x + 1,(11799)*x^3 + (0)*x^2 + (-11799)*x^1 + (0),(11799) * (x - 1) * x * (x + 1),11799,0,-11799,0,11799,2,E(4),556865604
x^4 - 22*x^3 - 22*x^2 - 2*x + 1,(12600)*x^3 + (12480)*x^2 + (1320)*x^1 + (-480),(12600) * (x - 1/7) * (x + 1/3) * (x + 4/5),12600,12480,1320,-480,120,0,E(4),6969600
x^4 - 22*x^3 - 7*x^2 + 8*x + 1,(11200)*x^3 + (3920)*x^2 + (-3920)*x^1 + (-420),(11200) * (x - 1/2) * (x + 1/10) * (x + 3/4),11200,3920,-3920,-420,140,0,E(4),29811600
x^4 - 22*x^3 + 2*x^2 + 22*x + 1,(10296)*x^3 + (0)*x^2 + (-10296)*x^1 + (0),(10296) * (x - 1) * x * (x + 1),10296,0,-10296,0,10296,2,E(4),424030464
x^4 - 21*x^3 + 2*x^2 + 21*x + 1,(8925)*x^3 + (0)*x^2 + (-8925)*x^1 + (0),(8925) * (x - 1) * x * (x + 1),8925,0,-8925,0,8925,2,E(4),318622500
x^4 - 20*x^3 - 7*x^2 + 20*x + 1,(8400)*x^3 + (3780)*x^2 + (-8400)*x^1 + (0),(8400) * (x - 4/5) * x * (x + 5/4),8400,3780,-8400,0,420,1,E(4),296528400
x^4 - 20*x^3 + 2*x^2 + 20*x + 1,(7680)*x^3 + (0)*x^2 + (-7680)*x^1 + (0),(7680) * (x - 1) * x * (x + 1),7680,0,-7680,0,7680,2,E(4),235929600
x^4 - 20*x^3 + 11*x^2 + 20*x + 1,(6960)*x^3 + (-3132)*x^2 + (-6960)*x^1 + (0),(6960) * (x - 5/4) * x * (x + 4/5),6960,-3132,-6960,0,348,1,E(4),203575824
x^4 - 19*x^3 + 2*x^2 + 19*x + 1,(6555)*x^3 + (0)*x^2 + (-6555)*x^1 + (0),(6555) * (x - 1) * x * (x + 1),6555,0,-6555,0,6555,2,E(4),171872100
x^4 - 18*x^3 - 25*x^2 + 18*x + 1,(7488)*x^3 + (11232)*x^2 + (-7488)*x^1 + (0),(7488) * (x - 1/2) * x * (x + 2),7488,11232,-7488,0,3744,1,E(4),350438400
x^4 - 18*x^3 - 13*x^2 + 18*x + 1,(6624)*x^3 + (5520)*x^2 + (-6624)*x^1 + (0),(6624) * (x - 2/3) * x * (x + 3/2),6624,5520,-6624,0,1104,1,E(4),205979904
x^4 - 18*x^3 + 2*x^2 + 18*x + 1,(5544)*x^3 + (0)*x^2 + (-5544)*x^1 + (0),(5544) * (x - 1) * x * (x + 1),5544,0,-5544,0,5544,2,E(4),122943744
x^4 - 18*x^3 + 17*x^2 + 18*x + 1,(4464)*x^3 + (-3720)*x^2 + (-4464)*x^1 + (0),(4464) * (x - 3/2) * x * (x + 2/3),4464,-3720,-4464,0,744,1,E(4),93547584
x^4 - 17*x^3 + 2*x^2 + 17*x + 1,(4641)*x^3 + (0)*x^2 + (-4641)*x^1 + (0),(4641) * (x - 1) * x * (x + 1),4641,0,-4641,0,4641,2,E(4),86155524
x^4 - 16*x^3 - 22*x^2 + 16*x + 1,(5376)*x^3 + (8064)*x^2 + (-5376)*x^1 + (0),(5376) * (x - 1/2) * x * (x + 2),5376,8064,-5376,0,2688,1,E(4),180633600
x^4 - 16*x^3 - 15*x^2 + 2*x + 1,(5040)*x^3 + (4788)*x^2 + (-504)*x^1 + (-252),(5040) * (x - 1/4) * (x + 1/5) * (x + 1),5040,4788,-504,-252,252,0,E(4),5143824
x^4 - 16*x^3 + 2*x^2 + 16*x + 1,(3840)*x^3 + (0)*x^2 + (-3840)*x^1 + (0),(3840) * (x - 1) * x * (x + 1),3840,0,-3840,0,3840,2,E(4),58982400
x^4 - 16*x^3 + 20*x^2 - 8*x + 1,(2880)*x^3 + (-3792)*x^2 + (1536)*x^1 + (-192),(2880) * (x - 2/3) * (x - 2/5) * (x - 1/4),2880,-3792,1536,-192,48,0,E(4),2304
x^4 - 15*x^3 - 14*x^2 + 15*x + 1,(4095)*x^3 + (4368)*x^2 + (-4095)*x^1 + (0),(4095) * (x - 3/5) * x * (x + 5/3),4095,4368,-4095,0,273,1,E(4),86155524
x^4 - 15*x^3 + 2*x^2 + 15*x + 1,(3135)*x^3 + (0)*x^2 + (-3135)*x^1 + (0),(3135) * (x - 1) * x * (x + 1),3135,0,-3135,0,3135,2,E(4),39312900
x^4 - 15*x^3 + 18*x^2 + 15*x + 1,(2175)*x^3 + (-2320)*x^2 + (-2175)*x^1 + (0),(2175) * (x - 5/3) * x * (x + 3/5),2175,-2320,-2175,0,145,1,E(4),24304900
