polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 - 25*x^4 + 25*x^3 - 5*x + 1,(315075)*x^4 + (-329025)*x^3 + (3375)*x^2 + (64875)*x^1 + (-13100),(315075) * (x^4 - 4387/4201*x^3 + 45/4201*x^2 + 865/4201*x - 524/12603),315075,-329025,3375,64875,-13100,25,0,A5,43890625
x^5 - 25*x^4 + 25*x^3 + 13*x^2 - 10*x + 1,(313200)*x^4 + (-334125)*x^3 + (-162729)*x^2 + (129330)*x^1 + (-12960),(313200) * (x^4 - 495/464*x^3 - 6027/11600*x^2 + 479/1160*x - 6/145),313200,-334125,-162729,129330,-12960,27,0,A5,18451690569
x^5 - 24*x^4 + 11*x^3 + 23*x^2 - 10*x + 1,(297418)*x^4 + (-152365)*x^3 + (-282893)*x^2 + (124979)*x^1 + (-12553),(297418) * (x^4 - 152365/297418*x^3 - 282893/297418*x^2 + 124979/297418*x - 12553/297418),297418,-152365,-282893,124979,-12553,1,0,A5,2059525924
x^5 - 24*x^4 + 20*x^3 + 13*x^2 - 12*x + 1,(274084)*x^4 + (-244489)*x^3 + (-146199)*x^2 + (140768)*x^1 + (-11695),(274084) * (x^4 - 244489/274084*x^3 - 146199/274084*x^2 + 35192/68521*x - 11695/274084),274084,-244489,-146199,140768,-11695,1,0,A5,5073855361
x^5 - 23*x^4 + 25*x^3 + 19*x^2 - 20*x + 1,(213894)*x^4 + (-254271)*x^3 + (-173799)*x^2 + (193266)*x^1 + (-9372),(213894) * (x^4 - 84757/71298*x^3 - 6437/7922*x^2 + 3579/3961*x - 1562/35649),213894,-254271,-173799,193266,-9372,3,0,A5,128868794289
x^5 - 20*x^4 + 12*x^3 + 19*x^2 - 14*x + 1,(134506)*x^4 + (-91329)*x^3 + (-124779)*x^2 + (95706)*x^1 + (-6749),(134506) * (x^4 - 91329/134506*x^3 - 124779/134506*x^2 + 47853/67253*x - 6749/134506),134506,-91329,-124779,95706,-6749,1,0,A5,2411693881
x^5 - 20*x^4 + 19*x^3 + 25*x^2 - 23*x + 1,(120789)*x^4 + (-130665)*x^3 + (-147312)*x^2 + (143370)*x^1 + (-5826),(120789) * (x^4 - 43555/40263*x^3 - 16368/13421*x^2 + 15930/13421*x - 1942/40263),120789,-130665,-147312,143370,-5826,3,0,A5,128868794289
x^5 - 18*x^4 + 11*x^3 + 11*x^2 - 8*x + 1,(86572)*x^4 + (-58585)*x^3 + (-51577)*x^2 + (39149)*x^1 + (-4921),(86572) * (x^4 - 58585/86572*x^3 - 51577/86572*x^2 + 39149/86572*x - 4921/86572),86572,-58585,-51577,39149,-4921,1,0,A5,210540100
x^5 - 17*x^4 - 21*x^3 + 15*x^2 + 11*x + 1,(113935)*x^4 + (126330)*x^3 + (-96245)*x^2 + (-68450)*x^1 + (-6145),(113935) * (x^4 + 25266/22787*x^3 - 19249/22787*x^2 - 13690/22787*x - 1229/22787),113935,126330,-96245,-68450,-6145,5,0,A5,16744360000
x^5 - 15*x^4 + 7*x^3 + 15*x^2 - 10*x + 1,(41746)*x^4 + (-23875)*x^3 + (-39895)*x^2 + (27940)*x^1 + (-2780),(41746) * (x^4 - 23875/41746*x^3 - 39895/41746*x^2 + 13970/20873*x - 1390/20873),41746,-23875,-39895,27940,-2780,1,0,A5,318943881
x^5 - 14*x^4 - 23*x^3 + 14*x^2 + 24*x + 1,(61536)*x^4 + (88455)*x^3 + (-59730)*x^2 + (-93825)*x^1 + (-3386),(61536) * (x^4 + 29485/20512*x^3 - 9955/10256*x^2 - 31275/20512*x - 1693/30768),61536,88455,-59730,-93825,-3386,1,0,A5,11459060209
x^5 - 14*x^4 + 19*x^3 + 12*x^2 - 20*x + 1,(20532)*x^4 + (-33521)*x^3 + (-15114)*x^2 + (31149)*x^1 + (-1220),(20532) * (x^4 - 33521/20532*x^3 - 2519/3422*x^2 + 10383/6844*x - 305/5133),20532,-33521,-15114,31149,-1220,1,0,A5,2411693881
