polynomial,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 - 11*x^4 + 5*x^3 + 20*x^2 + 9*x + 1,496,1643,806,-775,155,31,0,C(5),23088025
x^5 - 10*x^4 - 15*x^3 - 3*x^2 + 3*x + 1,132,671,1155,726,88,11,0,C(5),14641
x^5 - 10*x^4 + 18*x^3 - 3*x^2 - 8*x + 1,4378,-561,-7238,4411,-418,11,0,C(5),7745089
x^5 - 10*x^4 + 25*x^3 - 5*x^2 - 5*x + 1,750,-1375,375,0,0,125,2,C(5),19140625
x^5 - 8*x^4 - 25*x^3 + 18*x^2 + 12*x + 1,7392,14399,-15147,-5346,803,11,0,C(5),14320669561
x^5 - 8*x^4 - 3*x^3 + 18*x^2 - 10*x + 1,2596,-5973,1727,2266,-231,11,0,C(5),7745089
x^5 - 8*x^4 + 19*x^3 - 15*x^2 + x + 1,1210,-4323,4521,-1782,220,11,0,C(5),14641
x^5 - 7*x^4 - 9*x^3 + 17*x^2 + 20*x + 1,126181,115599,-56650,-46398,6644,11,0,C(5),27071209
x^5 - 7*x^4 + 2*x^3 + 17*x^2 + 9*x + 1,1045,2651,583,-1111,176,11,0,C(5),7745089
x^5 - 7*x^4 + 13*x^3 - 5*x^2 - 2*x + 1,165,-715,990,-462,66,11,0,C(5),14641
x^5 - 6*x^4 - 23*x^3 - x^2 + 5*x + 1,154,891,1507,352,66,11,0,C(5),27071209
x^5 - 6*x^4 - x^3 + 10*x^2 - 6*x + 1,22,-121,231,-176,55,11,0,C(5),14641
x^5 - 6*x^4 + 10*x^3 - x^2 - 6*x + 1,1210,-517,-1188,869,-154,11,0,C(5),14641
x^5 - 5*x^4 - 5*x^3 + 25*x^2 - 10*x + 1,375,-1375,750,0,0,125,2,C(5),19140625
x^5 - 2*x^4 - 5*x^3 + 2*x^2 + 4*x + 1,22,55,33,0,11,11,1,C(5),14641
x^5 - 2*x^4 - 5*x^3 + 13*x^2 - 7*x + 1,132,-385,297,-66,0,11,1,C(5),14641
x^5 - 10*x^3 + 5*x^2 + 10*x + 1,7000,4375,-7250,-125,750,125,0,C(5),19140625
x^5 + x^4 - 15*x^3 - 14*x^2 + 3*x + 1,1210,-121,-968,121,121,121,0,C(5),214358881
x^5 + x^4 - 15*x^3 + 19*x^2 - 8*x + 1,165,-605,660,-198,22,11,0,C(5),14641
x^5 + x^4 - 4*x^3 - 3*x^2 + 3*x + 1,165,-55,-165,33,44,11,0,C(5),14641
x^5 + 3*x^4 - 14*x^3 - 15*x^2 + x + 1,847,1573,847,-121,0,121,1,C(5),214358881
x^5 + 3*x^4 - 3*x^3 - 15*x^2 - 10*x + 1,18535,25025,4686,-4906,-1606,11,0,C(5),14641
x^5 + 3*x^4 - 3*x^3 - 4*x^2 + x + 1,22,33,0,-11,11,11,1,C(5),14641
x^5 + 4*x^4 - 9*x^3 - 5*x^2 + 9*x + 1,8140,-3553,-7931,3256,880,11,0,C(5),7745089
x^5 + 4*x^4 + 2*x^3 - 5*x^2 - 2*x + 1,132,143,-66,-99,-22,11,0,C(5),14641
x^5 + 5*x^4 - 23*x^3 - 23*x^2 + 16*x + 1,94809,-116413,-124938,26664,5478,11,0,C(5),61348849969
x^5 + 5*x^4 - 12*x^3 - x^2 + 5*x + 1,319,99,-649,165,110,11,0,C(5),7745089
x^5 + 5*x^4 - x^3 - 23*x^2 - 6*x + 1,7513,18161,572,-3806,-748,11,0,C(5),27071209
x^5 + 5*x^4 - x^3 - 12*x^2 + 5*x + 1,2596,-4411,-616,1815,385,11,0,C(5),7745089
x^5 + 9*x^4 - 5*x^3 - 9*x^2 + 4*x + 1,1045,-1529,-1100,1496,264,11,0,C(5),7745089
x^5 + 9*x^4 + 17*x^3 + 2*x^2 - 7*x + 1,1078,-583,-2596,-1265,-121,11,0,C(5),7745089
x^5 + 9*x^4 + 20*x^3 + 5*x^2 - 11*x + 1,10261,-6107,-19499,-8525,-930,31,0,C(5),23088025
x^5 + 10*x^4 + 5*x^3 - 10*x^2 + 1,250,-625,125,500,125,125,0,C(5),19140625
x^5 + 12*x^4 + 18*x^3 - 25*x^2 - 8*x + 1,13552,26895,-21648,-13739,-1078,11,0,C(5),14320669561
x^5 + 16*x^4 - 23*x^3 - 23*x^2 + 5*x + 1,4686,-7117,-9537,6138,726,11,0,C(5),61348849969
x^5 + 20*x^4 + 17*x^3 - 9*x^2 - 7*x + 1,3916,3641,-8569,-8844,-110,11,0,C(5),27071209
