polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 - 20*x^4 + 10*x^3 + 25*x^2 - 14*x + 1,(137610)*x^4 + (-80985)*x^3 + (-168615)*x^2 + (97200)*x^1 + (-6879),(137610) * (x^4 - 5399/9174*x^3 - 3747/3058*x^2 + 1080/1529*x - 2293/45870),137610,-80985,-168615,97200,-6879,3,0,D(5),29546515881
x^5 - 18*x^4 + 9*x^3 + 23*x^2 - 13*x + 1,(88431)*x^4 + (-53287)*x^3 + (-110106)*x^2 + (64332)*x^1 + (-4900),(88431) * (x^4 - 53287/88431*x^3 - 36702/29477*x^2 + 21444/29477*x - 700/12633),88431,-53287,-110106,64332,-4900,1,0,D(5),13382556489
x^5 - 17*x^4 + 4*x^3 + 25*x^2 + 11*x + 1,(75090)*x^4 + (-23305)*x^3 + (-113280)*x^2 + (-48885)*x^1 + (-4395),(75090) * (x^4 - 4661/15018*x^3 - 3776/2503*x^2 - 3259/5006*x - 293/5006),75090,-23305,-113280,-48885,-4395,5,0,D(5),672105625
x^5 - 16*x^4 + 8*x^3 + 21*x^2 - 12*x + 1,(53716)*x^4 + (-33401)*x^3 + (-68079)*x^2 + (40444)*x^1 + (-3335),(53716) * (x^4 - 33401/53716*x^3 - 68079/53716*x^2 + 10111/13429*x - 3335/53716),53716,-33401,-68079,40444,-3335,1,0,D(5),5517964089
x^5 - 15*x^4 - 23*x^3 + 5*x + 1,(78541)*x^4 + (109865)*x^3 + (-1015)*x^2 + (-23885)*x^1 + (-4730),(78541) * (x^4 + 109865/78541*x^3 - 1015/78541*x^2 - 23885/78541*x - 4730/78541),78541,109865,-1015,-23885,-4730,1,0,D(5),13024881
x^5 - 14*x^4 + 7*x^3 + 19*x^2 - 11*x + 1,(30321)*x^4 + (-19695)*x^3 + (-39150)*x^2 + (23760)*x^1 + (-2136),(30321) * (x^4 - 6565/10107*x^3 - 1450/1123*x^2 + 880/1123*x - 712/10107),30321,-19695,-39150,23760,-2136,3,0,D(5),2014483689
x^5 - 14*x^4 + 25*x^3 + 10*x^2 - 20*x + 1,(15876)*x^4 + (-34545)*x^3 + (-8910)*x^2 + (24759)*x^1 + (-894),(15876) * (x^4 - 235/108*x^3 - 55/98*x^2 + 131/84*x - 149/2646),15876,-34545,-8910,24759,-894,3,0,D(5),29546515881
x^5 - 13*x^4 + 5*x^3 + 17*x^2 - 9*x + 1,(23245)*x^4 + (-12382)*x^3 + (-28657)*x^2 + (15862)*x^1 + (-1771),(23245) * (x^4 - 12382/23245*x^3 - 28657/23245*x^2 + 15862/23245*x - 1771/23245),23245,-12382,-28657,15862,-1771,1,0,D(5),305830144
x^5 - 13*x^4 + 23*x^3 + 9*x^2 - 18*x + 1,(10810)*x^4 + (-23723)*x^3 + (-5457)*x^2 + (16276)*x^1 + (-632),(10810) * (x^4 - 23723/10810*x^3 - 5457/10810*x^2 + 8138/5405*x - 316/5405),10810,-23723,-5457,16276,-632,1,0,D(5),13382556489
x^5 - 13*x^4 + 25*x^3 - 11*x^2 - 2*x + 1,(10824)*x^4 + (-24073)*x^3 + (11439)*x^2 + (1698)*x^1 + (-948),(10824) * (x^4 - 24073/10824*x^3 + 93/88*x^2 + 283/1804*x - 79/902),10824,-24073,11439,1698,-948,1,0,D(5),18671041
x^5 - 12*x^4 - 25*x^3 - 8*x^2 + 4*x + 1,(41752)*x^4 + (77063)*x^3 + (23504)*x^2 + (-12019)*x^1 + (-2952),(41752) * (x^4 + 77063/41752*x^3 + 2938/5219*x^2 - 707/2456*x - 369/5219),41752,77063,23504,-12019,-2952,1,0,D(5),142110241
x^5 - 12*x^4 + 6*x^3 + 17*x^2 - 10*x + 1,(15486)*x^4 + (-10729)*x^3 + (-20319)*x^2 + (12696)*x^1 + (-1255),(15486) * (x^4 - 10729/15486*x^3 - 6773/5162*x^2 + 2116/2581*x - 1255/15486),15486,-10729,-20319,12696,-1255,1,0,D(5),623151369
x^5 - 12*x^4 + 21*x^3 + 8*x^2 - 16*x + 1,(7044)*x^4 + (-15625)*x^3 + (-3036)*x^2 + (10119)*x^1 + (-424),(7044) * (x^4 - 15625/7044*x^3 - 253/587*x^2 + 3373/2348*x - 106/1761),7044,-15625,-3036,10119,-424,1,0,D(5),5517964089
x^5 - 12*x^4 + 23*x^3 - 10*x^2 - 2*x + 1,(7042)*x^4 + (-15865)*x^3 + (7562)*x^2 + (1169)*x^1 + (-670),(7042) * (x^4 - 15865/7042*x^3 + 3781/3521*x^2 + 167/1006*x - 335/3521),7042,-15865,7562,1169,-670,1,0,D(5),9740641
x^5 - 11*x^4 - 23*x^3 - 7*x^2 + 4*x + 1,(31074)*x^4 + (56951)*x^3 + (16431)*x^2 + (-9630)*x^1 + (-2362),(31074) * (x^4 + 56951/31074*x^3 + 5477/10358*x^2 - 1605/5179*x - 1181/15537),31074,56951,16431,-9630,-2362,1,0,D(5),91259809
x^5 - 11*x^4 + 19*x^3 + 7*x^2 - 14*x + 1,(4338)*x^4 + (-9759)*x^3 + (-1431)*x^2 + (5832)*x^1 + (-264),(4338) * (x^4 - 3253/1446*x^3 - 159/482*x^2 + 324/241*x - 44/723),4338,-9759,-1431,5832,-264,3,0,D(5),2014483689
x^5 - 11*x^4 + 21*x^3 - 9*x^2 - 2*x + 1,(4324)*x^4 + (-9905)*x^3 + (4757)*x^2 + (750)*x^1 + (-448),(4324) * (x^4 - 9905/4324*x^3 + 4757/4324*x^2 + 375/2162*x - 112/1081),4324,-9905,4757,750,-448,1,0,D(5),4635409
