polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 11*x^4 + 5*x^3 + 20*x^2 + 9*x + 1,(217/2)*x^6 + (-465/2)*x^5 + (465/2)*x^4 + (868)*x^3 + (1395/2)*x^2 + (465/2)*x^1 + (31),(217/2) * (x^6 - 15/7*x^5 + 15/7*x^4 + 8*x^3 + 45/7*x^2 + 15/7*x + 2/7),217/2,-465/2,465/2,868,1395/2,465/2,31,31/2,0,C(5),23088025
x^5 - 10*x^4 - 15*x^3 - 3*x^2 + 3*x + 1,(275/2)*x^6 + (495/2)*x^5 + (495/2)*x^4 + (275)*x^3 + (231)*x^2 + (99)*x^1 + (33/2),(275/2) * (x^6 + 9/5*x^5 + 9/5*x^4 + 2*x^3 + 42/25*x^2 + 18/25*x + 3/25),275/2,495/2,495/2,275,231,99,33/2,11/2,0,C(5),14641
x^5 - 10*x^4 + 18*x^3 - 3*x^2 - 8*x + 1,(55)*x^6 + (-495/2)*x^5 + (561)*x^4 + (-693)*x^3 + (759/2)*x^2 + (-99)*x^1 + (143/2),(55) * (x^6 - 9/2*x^5 + 51/5*x^4 - 63/5*x^3 + 69/10*x^2 - 9/5*x + 13/10),55,-495/2,561,-693,759/2,-99,143/2,11/2,0,C(5),7745089
x^5 - 10*x^4 + 25*x^3 - 5*x^2 - 5*x + 1,(75/2)*x^6 + (-675/2)*x^5 + (1875/2)*x^4 + (-625)*x^3 + (375)*x^2 + (-150)*x^1 + (75/2),(75/2) * (x^6 - 9*x^5 + 25*x^4 - 50/3*x^3 + 10*x^2 - 4*x + 1),75/2,-675/2,1875/2,-625,375,-150,75/2,25/2,0,C(5),19140625
x^5 - 8*x^4 - 25*x^3 + 18*x^2 + 12*x + 1,(253/2)*x^6 + (165)*x^5 + (1947/2)*x^4 + (-253)*x^3 + (1056)*x^2 + (1023/2)*x^1 + (99),(253/2) * (x^6 + 30/23*x^5 + 177/23*x^4 - 2*x^3 + 192/23*x^2 + 93/23*x + 18/23),253/2,165,1947/2,-253,1056,1023/2,99,11/2,0,C(5),14320669561
x^5 - 8*x^4 - 3*x^3 + 18*x^2 - 10*x + 1,(143/2)*x^6 + (-99)*x^5 + (759/2)*x^4 + (-693)*x^3 + (561)*x^2 + (-495/2)*x^1 + (55),(143/2) * (x^6 - 18/13*x^5 + 69/13*x^4 - 126/13*x^3 + 102/13*x^2 - 45/13*x + 10/13),143/2,-99,759/2,-693,561,-495/2,55,11/2,0,C(5),7745089
x^5 - 8*x^4 + 19*x^3 - 15*x^2 + x + 1,(33/2)*x^6 + (-231/2)*x^5 + (693/2)*x^4 + (-539)*x^3 + (429)*x^2 + (-165)*x^1 + (77/2),(33/2) * (x^6 - 7*x^5 + 21*x^4 - 98/3*x^3 + 26*x^2 - 10*x + 7/3),33/2,-231/2,693/2,-539,429,-165,77/2,11/2,0,C(5),14641
x^5 - 7*x^4 - 9*x^3 + 17*x^2 + 20*x + 1,(143/2)*x^6 + (-33)*x^5 + (0)*x^4 + (649)*x^3 + (1617/2)*x^2 + (1155/2)*x^1 + (715/2),(143/2) * (x^6 - 6/13*x^5 + 118/13*x^3 + 147/13*x^2 + 105/13*x + 5),143/2,-33,0,649,1617/2,1155/2,715/2,11/2,1,C(5),27071209
x^5 - 7*x^4 + 2*x^3 + 17*x^2 + 9*x + 1,(44)*x^6 + (-297/2)*x^5 + (99/2)*x^4 + (484)*x^3 + (1023/2)*x^2 + (429/2)*x^1 + (77/2),(44) * (x^6 - 27/8*x^5 + 9/8*x^4 + 11*x^3 + 93/8*x^2 + 39/8*x + 7/8),44,-297/2,99/2,484,1023/2,429/2,77/2,11/2,0,C(5),7745089
x^5 - 7*x^4 + 13*x^3 - 5*x^2 - 2*x + 1,(33/2)*x^6 + (-99)*x^5 + (231)*x^4 + (-253)*x^3 + (363/2)*x^2 + (-165/2)*x^1 + (33/2),(33/2) * (x^6 - 6*x^5 + 14*x^4 - 46/3*x^3 + 11*x^2 - 5*x + 1),33/2,-99,231,-253,363/2,-165/2,33/2,11/2,0,C(5),14641
