polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 25*x^4 + 25*x^3 - 5*x + 1,1125/2,-1875/2,2025/2,-900,1125/2,-375/2,25,25/2,0,A5,43890625
x^5 - 25*x^4 + 25*x^3 + 13*x^2 - 10*x + 1,1125/2,-1035,1575,-1125,2007/2,-765/2,135/2,9/2,0,A5,18451690569
x^5 - 24*x^4 + 11*x^3 + 23*x^2 - 10*x + 1,1097/2,-1137/2,2319/2,-1199,2637/2,-855/2,85/2,1/2,0,A5,2059525924
x^5 - 24*x^4 + 20*x^3 + 13*x^2 - 12*x + 1,526,-1635/2,1248,-1521,1947/2,-384,223/2,1/2,0,A5,5073855361
x^5 - 23*x^4 + 25*x^3 + 19*x^2 - 20*x + 1,933/2,-1005,1893,-2295,3273/2,-1515/2,705/2,3/2,0,A5,128868794289
x^5 - 20*x^4 + 12*x^3 + 19*x^2 - 14*x + 1,370,-1005/2,996,-1529,2187/2,-489,297/2,1/2,0,A5,2411693881
x^5 - 20*x^4 + 19*x^3 + 25*x^2 - 23*x + 1,705/2,-1515/2,3273/2,-2295,1893,-1005,933/2,3/2,0,A5,128868794289
x^5 - 18*x^4 + 11*x^3 + 11*x^2 - 8*x + 1,593/2,-759/2,1197/2,-791,1167/2,-429/2,73/2,1/2,0,A5,210540100
x^5 - 17*x^4 - 21*x^3 + 15*x^2 + 11*x + 1,683/2,423,879,654,939,405,167/2,1/2,0,A5,16744360000
x^5 - 15*x^4 + 7*x^3 + 15*x^2 - 10*x + 1,415/2,-270,561,-865,1335/2,-555/2,125/2,1/2,0,A5,318943881
x^5 - 14*x^4 - 23*x^3 + 14*x^2 + 24*x + 1,507/2,378,1455/2,1683,1332,1353/2,541,1/2,0,A5,11459060209
x^5 - 14*x^4 + 19*x^3 + 12*x^2 - 20*x + 1,297/2,-489,2187/2,-1529,996,-1005/2,370,1/2,0,A5,2411693881
x^5 - 13*x^4 - 9*x^3 + 11*x^2 + 8*x + 1,383/2,93,216,505,969/2,399/2,73/2,1/2,0,A5,136866601
x^5 - 13*x^4 - x^3 + 17*x^2 - 8*x + 1,343/2,-108,453,-787,1233/2,-393/2,43/2,1/2,0,A5,5184729
