polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 20*x^4 + 10*x^3 + 25*x^2 - 14*x + 1,375,-975/2,1110,-1485,2895/2,-600,267/2,3/2,0,D(5),29546515881
x^5 - 18*x^4 + 9*x^3 + 23*x^2 - 13*x + 1,603/2,-831/2,1875/2,-1249,1239,-516,223/2,1/2,0,D(5),13382556489
x^5 - 17*x^4 + 4*x^3 + 25*x^2 + 11*x + 1,279,-579/2,993/2,1484,2253/2,765/2,117/2,1/2,0,D(5),672105625
x^5 - 16*x^4 + 8*x^3 + 21*x^2 - 12*x + 1,236,-699/2,780,-1033,2091/2,-438,183/2,1/2,0,D(5),5517964089
x^5 - 15*x^4 - 23*x^3 + 5*x + 1,565/2,1035/2,1437/2,500,795/2,345/2,25,1/2,0,D(5),13024881
x^5 - 14*x^4 + 7*x^3 + 19*x^2 - 11*x + 1,357/2,-579/2,1275/2,-837,867,-366,147/2,3/2,0,D(5),2014483689
x^5 - 14*x^4 + 25*x^3 + 10*x^2 - 20*x + 1,267/2,-600,2895/2,-1485,1110,-975/2,375,3/2,0,D(5),29546515881
x^5 - 13*x^4 + 5*x^3 + 17*x^2 - 9*x + 1,313/2,-225,504,-674,696,-267,77/2,1/2,0,D(5),305830144
x^5 - 13*x^4 + 23*x^3 + 9*x^2 - 18*x + 1,223/2,-516,1239,-1249,1875/2,-831/2,603/2,1/2,0,D(5),13382556489
x^5 - 13*x^4 + 25*x^3 - 11*x^2 - 2*x + 1,213/2,-405,753,-757,903/2,-309/2,63/2,1/2,0,D(5),18671041
x^5 - 12*x^4 - 25*x^3 - 8*x^2 + 4*x + 1,413/2,510,1467/2,711,426,279/2,36,1/2,0,D(5),142110241
x^5 - 12*x^4 + 6*x^3 + 17*x^2 - 10*x + 1,129,-471/2,510,-661,1407/2,-300,115/2,1/2,0,D(5),623151369
x^5 - 12*x^4 + 21*x^3 + 8*x^2 - 16*x + 1,183/2,-438,2091/2,-1033,780,-699/2,236,1/2,0,D(5),5517964089
x^5 - 12*x^4 + 23*x^3 - 10*x^2 - 2*x + 1,173/2,-339,1287/2,-653,399,-285/2,29,1/2,0,D(5),9740641
x^5 - 11*x^4 - 23*x^3 - 7*x^2 + 4*x + 1,357/2,432,618,605,753/2,261/2,67/2,1/2,0,D(5),91259809
x^5 - 11*x^4 + 19*x^3 + 7*x^2 - 14*x + 1,147/2,-366,867,-837,1275/2,-579/2,357/2,3/2,0,D(5),2014483689
x^5 - 11*x^4 + 21*x^3 - 9*x^2 - 2*x + 1,137/2,-279,543,-557,699/2,-261/2,53/2,1/2,0,D(5),4635409
x^5 - 11*x^4 + 23*x^3 - 10*x^2 - 5*x + 1,127/2,-609/2,1407/2,-870,975/2,-195/2,50,1/2,0,D(5),13024881
x^5 - 10*x^4 - 21*x^3 - 6*x^2 + 4*x + 1,305/2,360,1023/2,507,330,243/2,31,1/2,0,D(5),56445169
x^5 - 10*x^4 + 5*x^3 + 15*x^2 - 9*x + 1,175/2,-375/2,795/2,-505,555,-240,87/2,1/2,0,D(5),151068681
x^5 - 10*x^4 + 17*x^3 + 6*x^2 - 12*x + 1,115/2,-300,1407/2,-661,510,-471/2,129,1/2,0,D(5),623151369
x^5 - 10*x^4 + 19*x^3 - 8*x^2 - 2*x + 1,105/2,-225,903/2,-469,303,-237/2,24,1/2,0,D(5),1940449
x^5 - 9*x^4 - 19*x^3 - 5*x^2 + 4*x + 1,257/2,294,414,417,573/2,225/2,57/2,1/2,0,D(5),33373729
x^5 - 9*x^4 - 4*x^3 + 23*x^2 + 15*x + 1,91,-237/2,219/2,736,2037/2,1095/2,335/2,1/2,0,D(5),1963110249
x^5 - 9*x^4 + 15*x^3 + 5*x^2 - 10*x + 1,87/2,-240,555,-505,795/2,-375/2,175/2,1/2,0,D(5),151068681
x^5 - 9*x^4 + 17*x^3 - 7*x^2 - 2*x + 1,77/2,-177,369,-389,519/2,-213/2,43/2,1/2,0,D(5),667489
x^5 - 9*x^4 + 17*x^3 + 5*x^2 - 13*x + 1,77/2,-267,696,-674,504,-225,313/2,1/2,0,D(5),305830144
x^5 - 9*x^4 + 19*x^3 - x^2 - 7*x + 1,67/2,-249,633,-504,336,-132,103/2,1/2,0,D(5),32672656
x^5 - 9*x^4 + 19*x^3 + 8*x^2 - 3*x + 1,67/2,-633/2,1389/2,90,633/2,-357/2,-11,1/2,0,D(5),16507969
x^5 - 8*x^4 - 22*x^3 - 7*x^2 + 8*x + 1,119,633/2,522,731,915/2,81,163/2,1/2,0,D(5),117223929
x^5 - 8*x^4 - 17*x^3 - 4*x^2 + 4*x + 1,213/2,234,651/2,335,246,207/2,26,1/2,0,D(5),18671041
x^5 - 8*x^4 - 11*x^3 + 9*x^2 + 7*x + 1,183/2,129/2,369/2,169,357,177,53/2,1/2,0,D(5),32706961
x^5 - 8*x^4 + 4*x^3 + 13*x^2 - 8*x + 1,54,-291/2,300,-369,843/2,-186,63/2,3/2,0,D(5),24235929
x^5 - 8*x^4 + 13*x^3 + 4*x^2 - 8*x + 1,63/2,-186,843/2,-369,300,-291/2,54,3/2,0,D(5),24235929
x^5 - 8*x^4 + 15*x^3 - 6*x^2 - 2*x + 1,53/2,-135,591/2,-317,219,-189/2,19,1/2,0,D(5),160801
x^5 - 8*x^4 + 15*x^3 + x^2 + 15*x + 1,53/2,-375/2,249/2,845,-216,-90,445/2,1/2,0,D(5),61858225
x^5 - 8*x^4 + 18*x^3 - 3*x^2 - 2*x + 1,19,-387/2,480,-245,375/2,-126,23/2,1/2,0,D(5),4986289
x^5 - 8*x^4 + 19*x^3 - 2*x^2 + 2*x + 1,33/2,-213,975/2,11,69,-297/2,9,1/2,0,D(5),38775529
x^5 - 7*x^4 - 15*x^3 - 3*x^2 + 4*x + 1,173/2,180,246,261,417/2,189/2,47/2,1/2,0,D(5),9740641
x^5 - 7*x^4 - x^3 + 19*x^2 - 9*x + 1,103/2,-132,336,-504,633,-249,67/2,1/2,0,D(5),32672656
x^5 - 7*x^4 - x^3 + 20*x^2 + 13*x + 1,103/2,-279/2,33/2,572,1449/2,795/2,119,1/2,0,D(5),117223929
x^5 - 7*x^4 - x^3 + 24*x^2 + 17*x + 1,103/2,-339/2,-3/2,760,1989/2,1239/2,229,1/2,0,D(5),240963529
x^5 - 7*x^4 + 7*x^3 + 19*x^2 + 10*x + 1,63/2,-216,123,731,1083/2,465/2,105/2,1/2,0,D(5),2122849
x^5 - 7*x^4 + 11*x^3 + 3*x^2 - 6*x + 1,43/2,-138,303,-253,435/2,-219/2,57/2,1/2,0,D(5),1447209
x^5 - 7*x^4 + 12*x^3 + 3*x^2 - x + 1,19,-297/2,525/2,-2,273/2,-189/2,-13/2,1/2,0,D(5),2387025
x^5 - 7*x^4 + 17*x^3 - 15*x^2 + 5*x + 1,13/2,-66,201,-290,315,-240,125/2,1/2,0,D(5),512656
x^5 - 7*x^4 + 17*x^3 + 25*x^2 + 9*x + 1,13/2,-366,561,1266,813,210,37/2,1/2,0,D(5),1926544
x^5 - 7*x^4 + 21*x^3 + 12*x^2 + 19*x + 1,-7/2,-621/2,1005/2,1410,-555/2,369/2,331,1/2,0,D(5),21867015625
x^5 - 7*x^4 + 21*x^3 + 23*x^2 + 8*x + 1,-7/2,-393,783,1333,1293/2,237/2,13/2,1/2,0,D(5),3713329
x^5 - 6*x^4 - 13*x^3 - 2*x^2 + 4*x + 1,137/2,132,351/2,195,174,171/2,21,1/2,0,D(5),4635409
x^5 - 6*x^4 - 5*x^3 + 18*x^2 + 14*x + 1,97/2,-90,-21/2,383,681,831/2,151,1/2,0,D(5),350775441
x^5 - 6*x^4 + 3*x^3 + 11*x^2 - 7*x + 1,57/2,-219/2,435/2,-253,303,-138,43/2,1/2,0,D(5),1447209
x^5 - 6*x^4 + 3*x^3 + 15*x^2 + 23*x + 1,57/2,-279/2,-393/2,1031,324,495,983/2,1/2,0,D(5),192959881
x^5 - 6*x^4 + 3*x^3 + 20*x^2 + 2*x + 1,57/2,-177,327/2,179,681,75/2,-46,1/2,0,D(5),3629025
x^5 - 6*x^4 + 5*x^3 + 14*x^2 - 2*x + 1,47/2,-150,387/2,31,399,-159/2,-31,1/2,0,D(5),2474329
x^5 - 6*x^4 + 6*x^3 + 11*x^2 + 8*x + 1,21,-273/2,33,443,399/2,87,73/2,1/2,0,D(5),7112889
x^5 - 6*x^4 + 7*x^3 + 8*x^2 - 4*x + 1,37/2,-123,411/2,-81,228,-201/2,-4,1/2,0,D(5),693889
x^5 - 6*x^4 + 9*x^3 + 2*x^2 - 4*x + 1,27/2,-96,399/2,-157,150,-159/2,11,1/2,0,D(5),56169
x^5 - 6*x^4 + 11*x^3 - 4*x^2 - 2*x + 1,17/2,-69,351/2,-197,147,-141/2,14,1/2,0,D(5),2209
x^5 - 6*x^4 + 11*x^3 - x^2 + x + 1,17/2,-183/2,315/2,-5,75,-84,7/2,1/2,0,D(5),2798929
x^5 - 6*x^4 + 13*x^3 - 10*x^2 + 2*x + 1,7/2,-42,267/2,-201,201,-255/2,29,1/2,0,D(5),55225
x^5 - 6*x^4 + 15*x^3 - 18*x^2 + 8*x + 1,-3/2,0,111/2,-229,396,-657/2,109,1/2,1,D(5),2209
x^5 - 6*x^4 + 15*x^3 - 16*x^2 + 8*x + 1,-3/2,-15,147/2,-169,294,-609/2,104,1/2,0,D(5),859329
x^5 - 6*x^4 + 17*x^3 - 23*x^2 + 13*x + 1,-13/2,39/2,63/2,-261,552,-576,453/2,1/2,0,D(5),305809
x^5 - 6*x^4 + 17*x^3 - 22*x^2 + 16*x + 1,-13/2,12,-9/2,-101,408,-1311/2,311,1/2,0,D(5),9653449
x^5 - 5*x^4 - 11*x^3 - x^2 + 4*x + 1,105/2,90,114,137,285/2,153/2,37/2,1/2,0,D(5),1940449
