polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 16*x^4 + 25*x^3 + 16*x^2 - 10*x + 1,387/2,-720,2943/2,-345,999,-855/2,60,3/2,0,F(5),4728079593
x^5 - 15*x^4 - 9*x^3 + 19*x^2 + 9*x + 1,495/2,60,414,578,888,324,67/2,1/2,0,F(5),2382032
x^5 - 11*x^4 + 22*x^3 + 6*x^2 - 7*x + 1,66,-408,930,-300,450,-228,34,2,0,F(5),59168000
x^5 - 10*x^4 + 16*x^3 + 25*x^2 - 16*x + 1,60,-855/2,999,-345,2943/2,-720,387/2,3/2,0,F(5),4728079593
x^5 - 10*x^4 + 25*x^3 + 10*x^2 + 5*x + 1,75/2,-450,2025/2,825,225/2,-225/2,0,75/2,1,F(5),91378125
x^5 - 9*x^4 + 18*x^3 + 14*x^2 + 5*x + 1,36,-348,600,794,294,-30,-10,2,0,F(5),7909200
x^5 - 8*x^4 - 25*x^3 - 10*x^2 + 3*x + 1,253/2,375,1545/2,643,765/2,285/2,34,1/2,0,F(5),227381317
x^5 - 8*x^4 - 11*x^3 + 6*x^2 + 6*x + 1,183/2,87,327/2,179,273,273/2,21,1/2,0,F(5),6725897
x^5 - 7*x^4 - 9*x^3 + 17*x^2 + 9*x + 1,143/2,-33,165,110,660,297,77/2,11/2,0,F(5),117128000
x^5 - 7*x^4 + 6*x^3 + 22*x^2 - 11*x + 1,34,-228,450,-300,930,-408,66,2,0,F(5),59168000
x^5 - 7*x^4 + 11*x^3 + 7*x^2 - x + 1,43/2,-168,270,80,195,-93,-33/2,1/2,0,F(5),5618000
x^5 - 7*x^4 + 14*x^3 - 2*x^2 - 3*x + 1,14,-132,318,-228,174,-96,14,2,0,F(5),562432
x^5 - 7*x^4 + 16*x^3 - 8*x^2 - x + 1,9,-108,315,-330,225,-108,21,3,0,F(5),162000
x^5 - 7*x^4 + 19*x^3 - 5*x^2 - x + 1,3/2,-162,504,-264,171,-135,27/2,3/2,0,F(5),31608144
x^5 - 7*x^4 + 21*x^3 - 23*x^2 + 9*x + 1,-7/2,-48,285,-550,615,-468,277/2,1/2,0,F(5),9522000
x^5 - 6*x^4 - 18*x^3 + 12*x^2 + 8*x + 1,81,72,474,-121,522,279,34,1,0,F(5),11122069
x^5 - 5*x^4 - 20*x^3 + 5*x + 1,75,150,525,150,225,150,25,25,0,F(5),2450000
x^5 - 5*x^4 + 20*x^2 - 5*x + 1,25,-150,225,-200,675,-150,-25,25,0,F(5),800000
x^5 - 5*x^4 + 6*x^3 + 22*x^2 + 13*x + 1,10,-210,24,694,684,384,114,2,0,F(5),84399952
x^5 - 5*x^4 + 10*x^3 - 10*x^2 + 5*x + 1,0,0,0,-50,150,-150,50,50,3,F(5),50000
x^5 - 5*x^4 + 15*x^3 - 25*x^2 + 25*x + 1,-25/2,75,-225,100,450,-1050,1375/2,25/2,0,F(5),68450000
x^5 - 5*x^4 + 20*x^3 - 4*x^2 + x + 1,-25,-120,555,-150,69,-156,11,1,0,F(5),192944592
x^5 - 5*x^4 + 20*x^3 - 5*x + 1,-25,-150,675,-200,225,-150,25,25,0,F(5),800000
x^5 - 3*x^4 - 5*x^3 + 15*x^2 + 8*x + 1,43/2,-90,-15,-7,885/2,435/2,53/2,1/2,0,F(5),44217
x^5 - 3*x^4 - 2*x^3 + 14*x^2 - 7*x + 1,14,-96,174,-228,318,-132,14,2,0,F(5),562432
x^5 - 3*x^4 + 2*x^3 - 8*x^2 + 17*x + 1,4,51,-285,300,90,-219,309,1,0,F(5),23762000
x^5 - 3*x^4 + 2*x^3 + 2*x^2 + 23*x + 1,4,-24,-330,466,-18,54,524,2,0,F(5),1908366928
